athens : greece = baghdad : iraq -> ['baghdad', 'greece', 'syria', 'afghanistan', 'libya']
baghdad : iraq = bern : switzerland -> ['bern', 'iraq', 'brandenburg-prussia', 'rumania', 'denmark-norway']
baghdad : iraq = cairo : egypt -> ['iraq', 'cairo', 'iran', 'afghanistan', 'syria']
baghdad : iraq = canberra : australia -> ['canberra', 'iraq', 'tasmania', 'rhodesia', 'australia']
baghdad : iraq = hanoi : vietnam -> ['iraq', 'hanoi', 'vietnam', 'afghanistan', 'iran']
baghdad : iraq = havana : cuba -> ['iraq', 'havana', 'cuba', 'haiti', 'aruba']
baghdad : iraq = helsinki : finland -> ['helsinki', 'iraq', 'bosnia-herzegovina', 'belorussia', 'slovenia']
baghdad : iraq = islamabad : pakistan -> ['iraq', 'islamabad', 'afghanistan', 'qatar', 'tajikistan']
baghdad : iraq = kabul : afghanistan -> ['iraq', 'afghanistan', 'chechnya', 'syria', 'iran']
baghdad : iraq = london : england -> ['london', 'iraq', 'africa', 'england', 'latin-america']
baghdad : iraq = madrid : spain -> ['madrid', 'iraq', 'barcelona', 'nicaragua', 'cuba']
baghdad : iraq = moscow : russia -> ['iraq', 'moscow', 'iran', 'kazakhstan', 'afghanistan']
baghdad : iraq = oslo : norway -> ['oslo', 'iraq', 'slovenia', 'bosnia-herzegovina', 'namibia']
baghdad : iraq = ottawa : canada -> ['ottawa', 'iraq', 'toronto', 'edmonton', 'saskatchewan']
baghdad : iraq = paris : france -> ['paris', 'iraq', 'italy', 'rumania', 'latin-america']
baghdad : iraq = rome : italy -> ['rome', 'iraq', 'egypt', 'libya', 'syria']
baghdad : iraq = stockholm : sweden -> ['stockholm', 'iraq', 'slovenia', 'sweden', 'bosnia-herzegovina']
baghdad : iraq = tehran : iran -> ['iraq', 'iran', 'tehran', 'afghanistan', 'somalia']
baghdad : iraq = tokyo : japan -> ['tokyo', 'iraq', 'korea', 'vietnam', 'afghanistan']
baghdad : iraq = athens : greece -> ['athens', 'iraq', 'greece', 'albania', 'lithuania']
bangkok : thailand = beijing : china -> ['thailand', 'beijing', 'ethiopia', 'laos', 'china']
bangkok : thailand = berlin : germany -> ['berlin', 'thailand', 'germany', 'switzerland', 'belgium']
bangkok : thailand = bern : switzerland -> ['bern', 'thailand', 'denmark-norway', 'brandenburg-prussia', 'hungary']
bangkok : thailand = cairo : egypt -> ['thailand', 'cairo', 'ethiopia', 'peru', 'egypt']
bangkok : thailand = canberra : australia -> ['canberra', 'thailand', 'tasmania', 'queensland', 'australia']
bangkok : thailand = hanoi : vietnam -> ['thailand', 'hanoi', 'ethiopia', 'uzbekistan', 'iran']
bangkok : thailand = havana : cuba -> ['thailand', 'havana', 'peru', 'surinam', 'chile']
bangkok : thailand = helsinki : finland -> ['thailand', 'helsinki', 'finland', 'uzbekistan', 'belarus']
bangkok : thailand = islamabad : pakistan -> ['thailand', 'islamabad', 'tajikistan', 'uzbekistan', 'turkmenistan']
bangkok : thailand = kabul : afghanistan -> ['thailand', 'kabul', 'tajikistan', 'ethiopia', 'transjordan']
bangkok : thailand = london : england -> ['london', 'thailand', 'england', 'scotland', 'italy']
bangkok : thailand = madrid : spain -> ['madrid', 'thailand', 'peru', 'chile', 'ecuador']
bangkok : thailand = moscow : russia -> ['thailand', 'moscow', 'russia', 'kazakhstan', 'ukraine']
bangkok : thailand = oslo : norway -> ['oslo', 'thailand', 'slovenia', 'finland', 'denmark']
bangkok : thailand = ottawa : canada -> ['ottawa', 'thailand', 'denmark', 'saskatchewan', 'senegal']
bangkok : thailand = paris : france -> ['paris', 'thailand', 'italy', 'switzerland', 'belgium']
bangkok : thailand = rome : italy -> ['rome', 'thailand', 'egypt', 'greece', 'ethiopia']
bangkok : thailand = stockholm : sweden -> ['thailand', 'stockholm', 'denmark', 'sweden', 'finland']
bangkok : thailand = tehran : iran -> ['thailand', 'tehran', 'iran', 'uzbekistan', 'ethiopia']
bangkok : thailand = tokyo : japan -> ['thailand', 'tokyo', 'japan', 'korea', 'hokkaido']
bangkok : thailand = athens : greece -> ['athens', 'thailand', 'greece', 'denmark', 'finland']
bangkok : thailand = baghdad : iraq -> ['thailand', 'baghdad', 'ethiopia', 'libya', 'syria']
beijing : china = berlin : germany -> ['berlin', 'china', 'germany', 'africa', 'czechia']
beijing : china = bern : switzerland -> ['bern', 'denmark-norway', 'china', 'brandenburg-prussia', 'rumania']
beijing : china = cairo : egypt -> ['china', 'cairo', 'egypt', 'abyssinia', 'phoenicia']
beijing : china = canberra : australia -> ['canberra', 'china', 'australia', 'tasmania', 'queensland']
beijing : china = hanoi : vietnam -> ['china', 'hanoi', 'korea', 'iran', 'cambodia']
beijing : china = havana : cuba -> ['havana', 'china', 'cuba', 'jamaica', 'abyssinia']
beijing : china = helsinki : finland -> ['china', 'helsinki', 'fennoscandia', 'tatarstan', 'rumania']
beijing : china = islamabad : pakistan -> ['islamabad', 'china', 'pakistan', 'sundaland', 'baluchistan']
beijing : china = kabul : afghanistan -> ['china', 'kabul', 'afghanistan', 'egypt', 'chechnya']
beijing : china = london : england -> ['london', 'china', 'africa', 'england', 'australia']
beijing : china = madrid : spain -> ['madrid', 'china', 'chile', 'argentina', 'peru']
beijing : china = moscow : russia -> ['china', 'russia', 'moscow', 'armenia', 'kazakhstan']
beijing : china = oslo : norway -> ['oslo', 'china', 'iceland', 'fennoscandia', 'denmark']
beijing : china = ottawa : canada -> ['ottawa', 'china', 'toronto', 'calgary', 'winnipeg']
beijing : china = paris : france -> ['paris', 'china', 'italy', 'rumania', 'provence']
beijing : china = rome : italy -> ['rome', 'china', 'egypt', 'persia', 'byzantium']
beijing : china = stockholm : sweden -> ['stockholm', 'china', 'fennoscandia', 'denmark', 'iceland']
beijing : china = tehran : iran -> ['china', 'tehran', 'iran', 'egypt', 'korea']
beijing : china = tokyo : japan -> ['china', 'tokyo', 'japan', 'korea', 'hokkaido']
beijing : china = athens : greece -> ['china', 'athens', 'greece', 'phoenicia', 'egypt']
beijing : china = baghdad : iraq -> ['baghdad', 'china', 'manchuria', 'syria', 'afghanistan']
beijing : china = bangkok : thailand -> ['china', 'bangkok', 'cambodia', 'thailand', 'sundaland']
berlin : germany = bern : switzerland -> ['germany', 'hungary', 'austria', 'bern', 'denmark-norway']
berlin : germany = cairo : egypt -> ['germany', 'iran', 'italy', 'morocco', 'syria']
berlin : germany = canberra : australia -> ['canberra', 'germany', 'geelong', 'australia', 'tasmania']
berlin : germany = hanoi : vietnam -> ['germany', 'hanoi', 'iran', 'korea', 'bulgaria']
berlin : germany = havana : cuba -> ['germany', 'cuba', 'havana', 'italy', 'morocco']
berlin : germany = helsinki : finland -> ['germany', 'helsinki', 'bulgaria', 'finland', 'italy']
berlin : germany = islamabad : pakistan -> ['islamabad', 'germany', 'nigeria', 'pakistan', 'turkmenistan']
berlin : germany = kabul : afghanistan -> ['kabul', 'germany', 'syria', 'afghanistan', 'iran']
berlin : germany = london : england -> ['germany', 'london', 'italy', 'england', 'japan']
berlin : germany = madrid : spain -> ['germany', 'madrid', 'spain', 'italy', 'argentina']
berlin : germany = moscow : russia -> ['germany', 'russia', 'bulgaria', 'moscow', 'romania']
berlin : germany = oslo : norway -> ['germany', 'oslo', 'finland', 'hungary', 'sweden']
berlin : germany = ottawa : canada -> ['ottawa', 'germany', 'canada', 'denmark', 'bulgaria']
berlin : germany = paris : france -> ['germany', 'italy', 'france', 'paris', 'spain']
berlin : germany = rome : italy -> ['rome', 'germany', 'italy', 'egypt', 'greece']
berlin : germany = stockholm : sweden -> ['germany', 'italy', 'sweden', 'denmark', 'stockholm']
berlin : germany = tehran : iran -> ['germany', 'iran', 'tehran', 'italy', 'kazakhstan']
berlin : germany = tokyo : japan -> ['germany', 'tokyo', 'japan', 'korea', 'italy']
berlin : germany = athens : greece -> ['greece', 'athens', 'germany', 'denmark', 'bulgaria']
berlin : germany = baghdad : iraq -> ['germany', 'baghdad', 'syria', 'iran', 'libya']
berlin : germany = bangkok : thailand -> ['germany', 'bangkok', 'thailand', 'china', 'korea']
berlin : germany = beijing : china -> ['germany', 'beijing', 'china', 'korea', 'japan']
bern : switzerland = cairo : egypt -> ['switzerland', 'cairo', 'morocco', 'ethiopia', 'tunisia']
bern : switzerland = canberra : australia -> ['canberra', 'switzerland', 'tasmania', 'australia', 'queensland']
bern : switzerland = hanoi : vietnam -> ['switzerland', 'hanoi', 'thailand', 'ethiopia', 'uzbekistan']
bern : switzerland = havana : cuba -> ['havana', 'switzerland', 'venezuela', 'cuba', 'ecuador']
bern : switzerland = helsinki : finland -> ['switzerland', 'helsinki', 'finland', 'slovakia', 'stockholm']
bern : switzerland = islamabad : pakistan -> ['islamabad', 'switzerland', 'uzbekistan', 'tanzania', 'thailand']
bern : switzerland = kabul : afghanistan -> ['switzerland', 'kabul', 'syria', 'afghanistan', 'tajikistan']
bern : switzerland = london : england -> ['london', 'switzerland', 'italy', 'scandinavia', 'belgium']
bern : switzerland = madrid : spain -> ['switzerland', 'madrid', 'belgium', 'venezuela', 'italy']
bern : switzerland = moscow : russia -> ['switzerland', 'moscow', 'slovakia', 'russia', 'belarus']
bern : switzerland = oslo : norway -> ['switzerland', 'oslo', 'slovenia', 'finland', 'slovakia']
bern : switzerland = ottawa : canada -> ['ottawa', 'switzerland', 'canada', 'saskatchewan', 'ontario']
bern : switzerland = paris : france -> ['switzerland', 'paris', 'italy', 'belgium', 'brussels']
bern : switzerland = rome : italy -> ['switzerland', 'rome', 'italy', 'finland', 'ethiopia']
bern : switzerland = stockholm : sweden -> ['switzerland', 'stockholm', 'finland', 'sweden', 'belgium']
bern : switzerland = tehran : iran -> ['switzerland', 'tehran', 'thailand', 'uzbekistan', 'kazakhstan']
bern : switzerland = tokyo : japan -> ['tokyo', 'switzerland', 'thailand', 'japan', 'taiwan']
bern : switzerland = athens : greece -> ['switzerland', 'athens', 'greece', 'finland', 'denmark']
bern : switzerland = baghdad : iraq -> ['switzerland', 'baghdad', 'ethiopia', 'syria', 'thailand']
bern : switzerland = bangkok : thailand -> ['bangkok', 'switzerland', 'thailand', 'phuket', 'tanzania']
bern : switzerland = beijing : china -> ['beijing', 'switzerland', 'finland', 'ethiopia', 'china']
bern : switzerland = berlin : germany -> ['switzerland', 'berlin', 'belgium', 'germany', 'slovakia']
cairo : egypt = canberra : australia -> ['canberra', 'egypt', 'tasmania', 'fiji', 'vanuatu']
cairo : egypt = hanoi : vietnam -> ['egypt', 'syria', 'hanoi', 'tunisia', 'eritrea']
cairo : egypt = havana : cuba -> ['egypt', 'havana', 'haiti', 'tunisia', 'morocco']
cairo : egypt = helsinki : finland -> ['egypt', 'helsinki', 'latvia', 'bosnia-herzegovina', 'uzbekistan']
cairo : egypt = islamabad : pakistan -> ['egypt', 'islamabad', 'tajikistan', 'pakistan', 'uzbekistan']
cairo : egypt = kabul : afghanistan -> ['egypt', 'kabul', 'syria', 'eritrea', 'transjordan']
cairo : egypt = london : england -> ['london', 'egypt', 'britain', 'italy', 'ireland']
cairo : egypt = madrid : spain -> ['madrid', 'egypt', 'peru', 'italy', 'paraguay']
cairo : egypt = moscow : russia -> ['egypt', 'moscow', 'russia', 'armenia', 'syria']
cairo : egypt = oslo : norway -> ['oslo', 'egypt', 'iceland', 'latvia', 'sweden']
cairo : egypt = ottawa : canada -> ['ottawa', 'egypt', 'canada', 'senegal', 'saskatchewan']
cairo : egypt = paris : france -> ['egypt', 'paris', 'italy', 'tunisia', 'mesopotamia']
cairo : egypt = rome : italy -> ['egypt', 'rome', 'assyria', 'greece', 'persia']
cairo : egypt = stockholm : sweden -> ['egypt', 'stockholm', 'iceland', 'sweden', 'greece']
cairo : egypt = tehran : iran -> ['egypt', 'syria', 'tehran', 'iran', 'tunisia']
cairo : egypt = tokyo : japan -> ['egypt', 'tokyo', 'japan', 'korea', 'china']
cairo : egypt = athens : greece -> ['egypt', 'athens', 'greece', 'assyria', 'babylonia']
cairo : egypt = baghdad : iraq -> ['egypt', 'syria', 'baghdad', 'libya', 'babylonia']
cairo : egypt = bangkok : thailand -> ['egypt', 'bangkok', 'cambodia', 'thailand', 'tunisia']
cairo : egypt = beijing : china -> ['egypt', 'beijing', 'china', 'ethiopia', 'laos']
cairo : egypt = berlin : germany -> ['egypt', 'berlin', 'germany', 'hungary', 'switzerland']
cairo : egypt = bern : switzerland -> ['egypt', 'bern', 'denmark-norway', 'brandenburg-prussia', 'assyria']
canberra : australia = hanoi : vietnam -> ['australia', 'hanoi', 'china', 'iran', 'arabia']
canberra : australia = havana : cuba -> ['australia', 'havana', 'brazil', 'chile', 'surinam']
canberra : australia = helsinki : finland -> ['australia', 'helsinki', 'sweden', 'fennoscandia', 'denmark']
canberra : australia = islamabad : pakistan -> ['australia', 'islamabad', 'nigeria', 'indonesia', 'arabia']
canberra : australia = kabul : afghanistan -> ['kabul', 'australia', 'abyssinia', 'afghanistan', 'chechnya']
canberra : australia = london : england -> ['australia', 'london', 'england', 'australasia', 'africa']
canberra : australia = madrid : spain -> ['madrid', 'australia', 'brazil', 'chile', 'spain']
canberra : australia = moscow : russia -> ['moscow', 'australia', 'russia', 'bulgaria', 'brazil']
canberra : australia = oslo : norway -> ['oslo', 'australia', 'sweden', 'iceland', 'denmark']
canberra : australia = ottawa : canada -> ['australia', 'ottawa', 'canada', 'toronto', 'denmark']
canberra : australia = paris : france -> ['paris', 'australia', 'brazil', 'italy', 'france']
canberra : australia = rome : italy -> ['rome', 'australia', 'egypt', 'greece', 'denmark']
canberra : australia = stockholm : sweden -> ['australia', 'stockholm', 'sweden', 'denmark', 'iceland']
canberra : australia = tehran : iran -> ['australia', 'tehran', 'iran', 'arabia', 'thailand']
canberra : australia = tokyo : japan -> ['tokyo', 'australia', 'japan', 'hokkaido', 'brazil']
canberra : australia = athens : greece -> ['athens', 'australia', 'greece', 'denmark', 'sweden']
canberra : australia = baghdad : iraq -> ['australia', 'baghdad', 'arabia', 'libya', 'syria']
canberra : australia = bangkok : thailand -> ['australia', 'bangkok', 'thailand', 'indonesia', 'brazil']
canberra : australia = beijing : china -> ['beijing', 'australia', 'china', 'japan', 'brazil']
canberra : australia = berlin : germany -> ['berlin', 'australia', 'sweden', 'germany', 'belgium']
canberra : australia = bern : switzerland -> ['bern', 'australia', 'denmark-norway', 'rumania', 'sweden']
canberra : australia = cairo : egypt -> ['cairo', 'australia', 'brazil', 'abyssinia', 'arabia']
hanoi : vietnam = havana : cuba -> ['vietnam', 'havana', 'haiti', 'cuba', 'indochina']
hanoi : vietnam = helsinki : finland -> ['vietnam', 'helsinki', 'africa', 'korea', 'iraq']
hanoi : vietnam = islamabad : pakistan -> ['vietnam', 'islamabad', 'afghanistan', 'nyasaland', 'bangladesh']
hanoi : vietnam = kabul : afghanistan -> ['vietnam', 'afghanistan', 'iraq', 'yemen', 'chechnya']
hanoi : vietnam = london : england -> ['london', 'vietnam', 'africa', 'england', 'korea']
hanoi : vietnam = madrid : spain -> ['madrid', 'vietnam', 'nicaragua', 'cuba', 'haiti']
hanoi : vietnam = moscow : russia -> ['vietnam', 'korea', 'moscow', 'afghanistan', 'iraq']
hanoi : vietnam = oslo : norway -> ['vietnam', 'oslo', 'afghanistan', 'kosovo', 'namibia']
hanoi : vietnam = ottawa : canada -> ['ottawa', 'vietnam', 'saskatchewan', 'manitoba', 'winnipeg']
hanoi : vietnam = paris : france -> ['vietnam', 'paris', 'france', 'africa', 'italy']
hanoi : vietnam = rome : italy -> ['rome', 'vietnam', 'persia', 'gaul', 'egypt']
hanoi : vietnam = stockholm : sweden -> ['vietnam', 'stockholm', 'jutland', 'africa', 'korea']
hanoi : vietnam = tehran : iran -> ['vietnam', 'iraq', 'yemen', 'afghanistan', 'tehran']
hanoi : vietnam = tokyo : japan -> ['vietnam', 'tokyo', 'korea', 'japan', 'afghanistan']
hanoi : vietnam = athens : greece -> ['vietnam', 'athens', 'korea', 'cyprus', 'greece']
hanoi : vietnam = baghdad : iraq -> ['vietnam', 'afghanistan', 'iraq', 'baghdad', 'yemen']
hanoi : vietnam = bangkok : thailand -> ['vietnam', 'bangkok', 'cambodia', 'afghanistan', 'indochina']
hanoi : vietnam = beijing : china -> ['vietnam', 'beijing', 'korea', 'china', 'laos']
hanoi : vietnam = berlin : germany -> ['vietnam', 'berlin', 'germany', 'africa', 'czechoslovakia']
hanoi : vietnam = bern : switzerland -> ['vietnam', 'bern', 'baden', 'württemberg', 'rumania']
hanoi : vietnam = cairo : egypt -> ['vietnam', 'iraq', 'abyssinia', 'yemen', 'afghanistan']
hanoi : vietnam = canberra : australia -> ['canberra', 'vietnam', 'queensland', 'africa', 'korea']
havana : cuba = helsinki : finland -> ['cuba', 'helsinki', 'uzbekistan', 'kazakhstan', 'belorussia']
havana : cuba = islamabad : pakistan -> ['islamabad', 'laos', 'tajikistan', 'kyrgyzstan', 'cuba']
havana : cuba = kabul : afghanistan -> ['cuba', 'kabul', 'laos', 'afghanistan', 'chechnya']
havana : cuba = london : england -> ['london', 'cuba', 'england', 'germany', 'france']
havana : cuba = madrid : spain -> ['madrid', 'cuba', 'nicaragua', 'venezuela', 'chile']
havana : cuba = moscow : russia -> ['moscow', 'cuba', 'russia', 'kazakhstan', 'iran']
havana : cuba = oslo : norway -> ['oslo', 'cuba', 'slovenia', 'slovakia', 'uzbekistan']
havana : cuba = ottawa : canada -> ['ottawa', 'cuba', 'kazakhstan', 'montreal', 'toronto']
havana : cuba = paris : france -> ['cuba', 'paris', 'france', 'nicaragua', 'haïti']
havana : cuba = rome : italy -> ['rome', 'cuba', 'ethiopia', 'egypt', 'assyria']
havana : cuba = stockholm : sweden -> ['cuba', 'stockholm', 'slovenia', 'slovakia', 'belorussia']
havana : cuba = tehran : iran -> ['cuba', 'tehran', 'iran', 'kyrgyzstan', 'kazakhstan']
havana : cuba = tokyo : japan -> ['tokyo', 'cuba', 'laos', 'japan', 'nicaragua']
havana : cuba = athens : greece -> ['athens', 'cuba', 'greece', 'lithuania', 'russia']
havana : cuba = baghdad : iraq -> ['cuba', 'baghdad', 'iran', 'laos', 'afghanistan']
havana : cuba = bangkok : thailand -> ['cuba', 'bangkok', 'laos', 'kyrgyzstan', 'cambodia']
havana : cuba = beijing : china -> ['beijing', 'cuba', 'laos', 'china', 'ethiopia']
havana : cuba = berlin : germany -> ['berlin', 'cuba', 'germany', 'czechoslovakia', 'belorussia']
havana : cuba = bern : switzerland -> ['bern', 'cuba', 'brandenburg-prussia', 'rumania', 'denmark-norway']
havana : cuba = cairo : egypt -> ['cuba', 'cairo', 'iran', 'ethiopia', 'iraq']
havana : cuba = canberra : australia -> ['canberra', 'cuba', 'vanuatu', 'laos', 'tasmania']
havana : cuba = hanoi : vietnam -> ['cuba', 'hanoi', 'iran', 'laos', 'kyrgyzstan']
helsinki : finland = islamabad : pakistan -> ['finland', 'islamabad', 'thailand', 'ethiopia', 'laos']
helsinki : finland = kabul : afghanistan -> ['finland', 'kabul', 'ethiopia', 'syria', 'laos']
helsinki : finland = london : england -> ['finland', 'london', 'sweden', 'norway', 'britain']
helsinki : finland = madrid : spain -> ['finland', 'madrid', 'spain', 'peru', 'nicaragua']
helsinki : finland = moscow : russia -> ['finland', 'russia', 'lithuania', 'bulgaria', 'hungary']
helsinki : finland = oslo : norway -> ['finland', 'sweden', 'oslo', 'norway', 'iceland']
helsinki : finland = ottawa : canada -> ['finland', 'ottawa', 'canada', 'norway', 'sweden']
helsinki : finland = paris : france -> ['finland', 'italy', 'paris', 'france', 'spain']
helsinki : finland = rome : italy -> ['rome', 'finland', 'egypt', 'greece', 'ethiopia']
helsinki : finland = stockholm : sweden -> ['finland', 'sweden', 'norway', 'iceland', 'denmark']
helsinki : finland = tehran : iran -> ['finland', 'tehran', 'thailand', 'ethiopia', 'iran']
helsinki : finland = tokyo : japan -> ['finland', 'tokyo', 'japan', 'thailand', 'norway']
helsinki : finland = athens : greece -> ['finland', 'greece', 'athens', 'lithuania', 'denmark']
helsinki : finland = baghdad : iraq -> ['finland', 'baghdad', 'ethiopia', 'syria', 'thailand']
helsinki : finland = bangkok : thailand -> ['finland', 'thailand', 'bangkok', 'laos', 'ethiopia']
helsinki : finland = beijing : china -> ['finland', 'beijing', 'ethiopia', 'china', 'laos']
helsinki : finland = berlin : germany -> ['finland', 'germany', 'berlin', 'sweden', 'hungary']
helsinki : finland = bern : switzerland -> ['finland', 'bern', 'hungary', 'denmark-norway', 'sweden']
helsinki : finland = cairo : egypt -> ['finland', 'cairo', 'ethiopia', 'abyssinia', 'egypt']
helsinki : finland = canberra : australia -> ['finland', 'canberra', 'tasmania', 'norway', 'iceland']
helsinki : finland = hanoi : vietnam -> ['finland', 'hanoi', 'ethiopia', 'thailand', 'bulgaria']
helsinki : finland = havana : cuba -> ['finland', 'cuba', 'havana', 'iceland', 'surinam']
islamabad : pakistan = kabul : afghanistan -> ['pakistan', 'kabul', 'afghanistan', 'iran', 'syria']
islamabad : pakistan = london : england -> ['london', 'pakistan', 'england', 'britain', 'lancashire']
islamabad : pakistan = madrid : spain -> ['madrid', 'pakistan', 'argentina', 'paraguay', 'bolivia']
islamabad : pakistan = moscow : russia -> ['moscow', 'pakistan', 'azerbaijan', 'iran', 'kazakhstan']
islamabad : pakistan = oslo : norway -> ['oslo', 'pakistan', 'slovenia', 'bangladesh', 'namibia']
islamabad : pakistan = ottawa : canada -> ['ottawa', 'pakistan', 'toronto', 'canada', 'winnipeg']
islamabad : pakistan = paris : france -> ['paris', 'pakistan', 'france', 'italy', 'haïti']
islamabad : pakistan = rome : italy -> ['rome', 'egypt', 'pakistan', 'persia', 'byzantium']
islamabad : pakistan = stockholm : sweden -> ['stockholm', 'pakistan', 'sweden', 'finland', 'slovenia']
islamabad : pakistan = tehran : iran -> ['pakistan', 'iran', 'tehran', 'iraq', 'kazakhstan']
islamabad : pakistan = tokyo : japan -> ['tokyo', 'pakistan', 'japan', 'iran', 'korea']
islamabad : pakistan = athens : greece -> ['athens', 'greece', 'pakistan', 'denmark-norway', 'assyria']
islamabad : pakistan = baghdad : iraq -> ['pakistan', 'baghdad', 'iran', 'syria', 'afghanistan']
islamabad : pakistan = bangkok : thailand -> ['pakistan', 'bangkok', 'bangladesh', 'myanmar', 'iran']
islamabad : pakistan = beijing : china -> ['beijing', 'pakistan', 'china', 'iran', 'india']
islamabad : pakistan = berlin : germany -> ['berlin', 'pakistan', 'germany', 'czechoslovakia', 'belgium']
islamabad : pakistan = bern : switzerland -> ['bern', 'pakistan', 'denmark-norway', 'brandenburg-prussia', 'poland-lithuania']
islamabad : pakistan = cairo : egypt -> ['pakistan', 'iran', 'cairo', 'syria', 'iraq']
islamabad : pakistan = canberra : australia -> ['canberra', 'pakistan', 'queensland', 'bangladesh', 'rhodesia']
islamabad : pakistan = hanoi : vietnam -> ['pakistan', 'hanoi', 'iran', 'myanmar', 'iraq']
islamabad : pakistan = havana : cuba -> ['havana', 'pakistan', 'cuba', 'jamaica', 'haiti']
islamabad : pakistan = helsinki : finland -> ['pakistan', 'helsinki', 'belarus', 'kazakhstan', 'bangladesh']
kabul : afghanistan = london : england -> ['london', 'afghanistan', 'africa', 'australasia', 'england']
kabul : afghanistan = madrid : spain -> ['madrid', 'afghanistan', 'argentina', 'bolivia', 'catalonia']
kabul : afghanistan = moscow : russia -> ['moscow', 'afghanistan', 'kazakhstan', 'uzbekistan', 'russia']
kabul : afghanistan = oslo : norway -> ['oslo', 'afghanistan', 'slovenia', 'namibia', 'slovakia']
kabul : afghanistan = ottawa : canada -> ['ottawa', 'afghanistan', 'toronto', 'calgary', 'namibia']
kabul : afghanistan = paris : france -> ['paris', 'afghanistan', 'italy', 'belgium', 'france']
kabul : afghanistan = rome : italy -> ['rome', 'afghanistan', 'ethiopia', 'italy', 'libya']
kabul : afghanistan = stockholm : sweden -> ['stockholm', 'afghanistan', 'slovenia', 'estonia', 'slovakia']
kabul : afghanistan = tehran : iran -> ['afghanistan', 'iraq', 'tehran', 'iran', 'uzbekistan']
kabul : afghanistan = tokyo : japan -> ['tokyo', 'afghanistan', 'vietnam', 'korea', 'japan']
kabul : afghanistan = athens : greece -> ['athens', 'afghanistan', 'lithuania', 'greece', 'estonia']
kabul : afghanistan = baghdad : iraq -> ['afghanistan', 'iraq', 'baghdad', 'chechnya', 'libya']
kabul : afghanistan = bangkok : thailand -> ['afghanistan', 'bangkok', 'cambodia', 'vietnam', 'iraq']
kabul : afghanistan = beijing : china -> ['beijing', 'afghanistan', 'china', 'vietnam', 'ethiopia']
kabul : afghanistan = berlin : germany -> ['berlin', 'afghanistan', 'germany', 'belgium', 'czechoslovakia']
kabul : afghanistan = bern : switzerland -> ['bern', 'afghanistan', 'rumania', 'bosnia-herzegovina', 'belorussia']
kabul : afghanistan = cairo : egypt -> ['afghanistan', 'iraq', 'cairo', 'iran', 'syria']
kabul : afghanistan = canberra : australia -> ['canberra', 'afghanistan', 'australia', 'tasmania', 'africa']
kabul : afghanistan = hanoi : vietnam -> ['afghanistan', 'iraq', 'vietnam', 'hanoi', 'cambodia']
kabul : afghanistan = havana : cuba -> ['havana', 'afghanistan', 'haiti', 'cuba', 'angola']
kabul : afghanistan = helsinki : finland -> ['helsinki', 'afghanistan', 'uzbekistan', 'slovakia', 'kazakhstan']
kabul : afghanistan = islamabad : pakistan -> ['afghanistan', 'islamabad', 'tajikistan', 'uzbekistan', 'tanzania']
london : england = madrid : spain -> ['madrid', 'england', 'zaragoza', 'spain', 'portugal']
