bad : worse = big : bigger -> ['worse', 'bigger', 'big', 'larger', 'smaller']
big : bigger = strong : stronger -> ['stronger', 'strong', 'weaker', 'bigger', 'tougher']
big : bigger = tall : taller -> ['tall', 'taller', 'bigger', 'larger', 'heavier']
big : bigger = tight : tighter -> ['tight', 'tighter', 'tougher', 'narrower', 'closer']
big : bigger = tough : tougher -> ['tough', 'tougher', 'bigger', 'stronger', 'heavier']
big : bigger = warm : warmer -> ['warm', 'warmer', 'hotter', 'drier', 'colder']
big : bigger = weak : weaker -> ['weaker', 'weak', 'stronger', 'tougher', 'heavier']
big : bigger = wide : wider -> ['wide', 'wider', 'broader', 'narrower', 'larger']
big : bigger = young : younger -> ['young', 'younger', 'older', 'bigger', 'middle-aged']
big : bigger = bad : worse -> ['bad', 'bigger', 'uglier', 'worse', 'weaker']
bright : brighter = cheap : cheaper -> ['cheap', 'cheaper', 'quieter', 'brighter', 'fatter']
bright : brighter = cold : colder -> ['cold', 'colder', 'hotter', 'warmer', 'quieter']
bright : brighter = cool : cooler -> ['cool', 'brighter', 'colder', 'hotter', 'rougher']
bright : brighter = deep : deeper -> ['deeper', 'deep', 'brighter', 'shallower', 'rougher']
bright : brighter = easy : easier -> ['easy', 'easier', 'quieter', 'harder', 'quicker']
bright : brighter = fast : faster -> ['faster', 'fast', 'quieter', 'slower', 'smoother']
bright : brighter = good : better -> ['good', 'brighter', 'funnier', 'trickier', 'weirder']
bright : brighter = great : greater -> ['great', 'greater', 'brighter', 'quieter', 'rougher']
bright : brighter = hard : harder -> ['hard', 'harder', 'quieter', 'rougher', 'brighter']
bright : brighter = heavy : heavier -> ['heavy', 'heavier', 'brighter', 'quieter', 'rougher']
bright : brighter = high : higher -> ['high', 'higher', 'brighter', 'quieter', 'rougher']
bright : brighter = hot : hotter -> ['hot', 'hotter', 'brighter', 'quieter', 'rougher']
bright : brighter = large : larger -> ['larger', 'smaller', 'large', 'bigger', 'brighter']
bright : brighter = long : longer -> ['long', 'quieter', 'longer', 'shorter', 'brighter']
bright : brighter = loud : louder -> ['loud', 'louder', 'quieter', 'brighter', 'sweeter']
bright : brighter = low : lower -> ['low', 'brighter', 'quieter', 'rougher', 'hotter']
bright : brighter = new : newer -> ['new', 'quieter', 'brighter', 'newer', 'rougher']
bright : brighter = old : older -> ['old', 'quieter', 'older', 'brighter', 'rougher']
bright : brighter = quick : quicker -> ['quick', 'quicker', 'quieter', 'faster', 'smoother']
bright : brighter = safe : safer -> ['safe', 'quieter', 'safer', 'healthier', 'brighter']
bright : brighter = sharp : sharper -> ['sharper', 'brighter', 'sharp', 'fatter', 'fainter']
bright : brighter = short : shorter -> ['short', 'shorter', 'quieter', 'brighter', 'fainter']
bright : brighter = simple : simpler -> ['simple', 'simpler', 'quieter', 'neater', 'looser']
bright : brighter = slow : slower -> ['slow', 'slower', 'quieter', 'faster', 'quicker']
bright : brighter = small : smaller -> ['smaller', 'small', 'larger', 'brighter', 'quieter']
bright : brighter = smart : smarter -> ['smarter', 'brighter', 'smart', 'quieter', 'fatter']
bright : brighter = strong : stronger -> ['stronger', 'strong', 'weaker', 'brighter', 'fatter']
bright : brighter = tall : taller -> ['tall', 'taller', 'brighter', 'thicker', 'fatter']
bright : brighter = tight : tighter -> ['tight', 'tighter', 'rougher', 'looser', 'brighter']
bright : brighter = tough : tougher -> ['tough', 'tougher', 'quieter', 'tighter', 'brighter']
bright : brighter = warm : warmer -> ['warmer', 'quieter', 'brighter', 'warm', 'colder']
bright : brighter = weak : weaker -> ['weak', 'weaker', 'brighter', 'stronger', 'fatter']
bright : brighter = wide : wider -> ['wide', 'wider', 'narrower', 'shallower', 'brighter']
bright : brighter = young : younger -> ['young', 'brighter', 'younger', 'smarter', 'taller']
bright : brighter = bad : worse -> ['bad', 'brighter', 'weirder', 'sweeter', 'fatter']
bright : brighter = big : bigger -> ['big', 'bigger', 'brighter', 'quieter', 'fatter']
cheap : cheaper = cold : colder -> ['cold', 'warmer', 'colder', 'hotter', 'drier']
cheap : cheaper = cool : cooler -> ['cool', 'warmer', 'colder', 'hotter', 'cooler']
cheap : cheaper = deep : deeper -> ['deep', 'deeper', 'narrower', 'shallower', 'slower']
cheap : cheaper = easy : easier -> ['easy', 'easier', 'harder', 'cheaper', 'difficult']
cheap : cheaper = fast : faster -> ['fast', 'faster', 'slower', 'cheaper', 'quicker']
cheap : cheaper = good : better -> ['good', 'better', 'funnier', 'sillier', 'cleverer']
cheap : cheaper = great : greater -> ['great', 'greater', 'florenz', 'better', 'lesser']
cheap : cheaper = hard : harder -> ['hard', 'harder', 'easier', 'tougher', 'cheaper']
cheap : cheaper = heavy : heavier -> ['heavy', 'heavier', 'lighter', 'cheaper', 'tougher']
cheap : cheaper = high : higher -> ['high', 'higher', 'cheaper', 'lower', 'low']
cheap : cheaper = hot : hotter -> ['hot', 'hotter', 'cheaper', 'heavier', 'drier']
cheap : cheaper = large : larger -> ['large', 'larger', 'smaller', 'bigger', 'huge']
cheap : cheaper = long : longer -> ['long', 'longer', 'shorter', 'spindly', 'narrower']
cheap : cheaper = loud : louder -> ['loud', 'louder', 'slower', 'funnier', 'tougher']
cheap : cheaper = low : lower -> ['low', 'higher', 'lower', 'cheaper', 'steeper']
cheap : cheaper = new : newer -> ['new', 'd-new', 'australia-new', 'newer', 'higher-priced']
cheap : cheaper = old : older -> ['old', 'older', 'cheaper', 'younger', 'newer']
cheap : cheaper = quick : quicker -> ['quick', 'slower', 'cheaper', 'easier', 'tougher']
cheap : cheaper = safe : safer -> ['safe', 'safer', 'cheaper', 'healthier', 'easier']
cheap : cheaper = sharp : sharper -> ['sharp', 'sharper', 'tougher', 'narrower', 'noisier']
cheap : cheaper = short : shorter -> ['short', 'shorter', 'longer', 'cheaper', 'slower']
cheap : cheaper = simple : simpler -> ['simple', 'simpler', 'cheaper', 'looser', 'leaner']
cheap : cheaper = slow : slower -> ['slow', 'slower', 'faster', 'cheaper', 'accelerate']
cheap : cheaper = small : smaller -> ['smaller', 'small', 'larger', 'bigger', 'cheaper']
cheap : cheaper = smart : smarter -> ['smart', 'smarter', 'cheaper', 'healthier', 'tougher']
cheap : cheaper = strong : stronger -> ['strong', 'stronger', 'weaker', 'weak', 'tougher']
cheap : cheaper = tall : taller -> ['tall', 'taller', 'narrower', 'thick', 'heavier']
cheap : cheaper = tight : tighter -> ['tight', 'tighter', 'looser', 'narrower', 'tougher']
cheap : cheaper = tough : tougher -> ['tough', 'tougher', 'harder', 'cheaper', 'heavier']
cheap : cheaper = warm : warmer -> ['warm', 'warmer', 'drier', 'colder', 'hotter']
cheap : cheaper = weak : weaker -> ['weak', 'weaker', 'stronger', 'tougher', 'cheaper']
cheap : cheaper = wide : wider -> ['wide', 'wider', 'narrower', 'broader', 'larger']
cheap : cheaper = young : younger -> ['young', 'younger', 'older', 'wealthier', 'marriageable']
cheap : cheaper = bad : worse -> ['bad', 'better', 'uglier', 'funnier', 'sillier']
cheap : cheaper = big : bigger -> ['big', 'bigger', 'larger', 'smaller', 'cheaper']
cheap : cheaper = bright : brighter -> ['bright', 'brighter', 'fainter', 'browner', 'duller']
cold : colder = cool : cooler -> ['colder', 'cool', 'warmer', 'hotter', 'cooler']
cold : colder = deep : deeper -> ['deep', 'deeper', 'shallower', 'colder', 'hotter']
cold : colder = easy : easier -> ['easy', 'easier', 'harder', 'quieter', 'colder']
cold : colder = fast : faster -> ['fast', 'faster', 'slower', 'quieter', 'hotter']
cold : colder = good : better -> ['good', 'weirder', 'prettier', 'tidier', 'cleverer']
cold : colder = great : greater -> ['great', 'greater', 'colder', 'weirder', 'florenz']
cold : colder = hard : harder -> ['hard', 'harder', 'colder', 'rougher', 'trickier']
cold : colder = heavy : heavier -> ['heavy', 'heavier', 'colder', 'hotter', 'denser']
cold : colder = high : higher -> ['high', 'higher', 'colder', 'steeper', 'shallower']
cold : colder = hot : hotter -> ['hot', 'colder', 'hotter', 'wetter', 'warmer']
cold : colder = large : larger -> ['large', 'smaller', 'larger', 'bigger', 'huge']
cold : colder = long : longer -> ['long', 'longer', 'shorter', 'quieter', 'colder']
cold : colder = loud : louder -> ['loud', 'louder', 'sweeter', 'colder', 'hotter']
cold : colder = low : lower -> ['low', 'colder', 'hotter', 'higher', 'shallower']
cold : colder = new : newer -> ['new', 'd-new', 'york-new', 'busier', 'australia-new']
cold : colder = old : older -> ['old', 'older', 'colder', 'busier', 'plainer']
cold : colder = quick : quicker -> ['quick', 'quicker', 'slower', 'faster', 'quieter']
cold : colder = safe : safer -> ['safe', 'safer', 'healthier', 'colder', 'quieter']
cold : colder = sharp : sharper -> ['sharp', 'sharper', 'redder', 'steeper', 'blacker']
cold : colder = short : shorter -> ['short', 'shorter', 'steeper', 'colder', 'hotter']
cold : colder = simple : simpler -> ['simple', 'simpler', 'trickier', 'weirder', 'plainer']
cold : colder = slow : slower -> ['slow', 'slower', 'colder', 'faster', 'hotter']
cold : colder = small : smaller -> ['smaller', 'small', 'larger', 'tiny', 'stouter']
cold : colder = smart : smarter -> ['smart', 'smarter', 'greener', 'prettier', 'healthier']
cold : colder = strong : stronger -> ['strong', 'stronger', 'weaker', 'weak', 'colder']
cold : colder = tall : taller -> ['tall', 'taller', 'colder', 'denser', 'amsl']
cold : colder = tight : tighter -> ['tight', 'tighter', 'colder', 'shallower', 'denser']
cold : colder = tough : tougher -> ['tough', 'tougher', 'colder', 'hotter', 'scarier']
cold : colder = warm : warmer -> ['colder', 'warmer', 'warm', 'hotter', 'drier']
cold : colder = weak : weaker -> ['weak', 'weaker', 'colder', 'stronger', 'redder']
cold : colder = wide : wider -> ['wide', 'wider', 'shallower', 'narrower', 'colder']
cold : colder = young : younger -> ['young', 'younger', 'wealthier', 'colder', 'older']
cold : colder = bad : worse -> ['bad', 'colder', 'weirder', 'prettier', 'sweeter']
cold : colder = big : bigger -> ['big', 'bigger', 'colder', 'smaller', 'hotter']
cold : colder = bright : brighter -> ['bright', 'brighter', 'colder', 'darker', 'duller']
cold : colder = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'quieter', 'hotter']
cool : cooler = deep : deeper -> ['deep', 'deeper', 'cooler', 'shallower', 'hotter']
cool : cooler = easy : easier -> ['easy', 'easier', 'cooler', 'harder', 'quieter']
cool : cooler = fast : faster -> ['fast', 'faster', 'slower', 'cooler', 'quieter']
cool : cooler = good : better -> ['good', 'cooler', 'busier', 'riskier', 'funnier']
cool : cooler = great : greater -> ['great', 'greater', 'florenz', 'cooler', 'busier']
cool : cooler = hard : harder -> ['hard', 'harder', 'cooler', 'easier', 'tougher']
cool : cooler = heavy : heavier -> ['heavy', 'heavier', 'lighter', 'cooler', 'stiffer']
cool : cooler = high : higher -> ['high', 'higher', 'cooler', 'low', 'steeper']
cool : cooler = hot : hotter -> ['hot', 'cooler', 'hotter', 'warmer', 'colder']
cool : cooler = large : larger -> ['large', 'smaller', 'larger', 'sizable', 'huge']
cool : cooler = long : longer -> ['long', 'shorter', 'longer', 'cooler', 'busier']
cool : cooler = loud : louder -> ['loud', 'cooler', 'louder', 'hotter', 'dimmer']
cool : cooler = low : lower -> ['low', 'cooler', 'higher', 'hotter', 'shallower']
cool : cooler = new : newer -> ['new', 'd-new', 'australia-new', 'york-new', 'busier']
cool : cooler = old : older -> ['old', 'older', 'cooler', 'busier', 'wealthier']
cool : cooler = quick : quicker -> ['quick', 'quicker', 'slower', 'swifter', 'cooler']
cool : cooler = safe : safer -> ['safe', 'cooler', 'safer', 'healthier', 'quieter']
cool : cooler = sharp : sharper -> ['sharp', 'cooler', 'sharper', 'dimmer', 'slimmer']
cool : cooler = short : shorter -> ['short', 'shorter', 'cooler', 'busier', 'steeper']
cool : cooler = simple : simpler -> ['simple', 'simpler', 'bulkier', 'cooler', 'slimmer']
cool : cooler = slow : slower -> ['slow', 'slower', 'cooler', 'quicker', 'faster']
cool : cooler = small : smaller -> ['small', 'smaller', 'tiny', 'larger', 'large']
cool : cooler = smart : smarter -> ['smart', 'slimmer', 'dimmer', 'smarter', 'cooler']
cool : cooler = strong : stronger -> ['strong', 'stronger', 'weaker', 'weak', 'cooler']
cool : cooler = tall : taller -> ['tall', 'taller', 'cooler', 'thicker', 'slimmer']
cool : cooler = tight : tighter -> ['tight', 'cooler', 'tighter', 'thicker', 'shallower']
cool : cooler = tough : tougher -> ['tough', 'tougher', 'cooler', 'busier', 'hotter']
cool : cooler = warm : warmer -> ['cooler', 'warmer', 'colder', 'drier', 'warm']
cool : cooler = weak : weaker -> ['weak', 'weaker', 'cooler', 'bulkier', 'stronger']
cool : cooler = wide : wider -> ['wide', 'wider', 'narrower', 'shallower', 'cooler']
cool : cooler = young : younger -> ['young', 'younger', 'cooler', 'wealthier', 'older']
cool : cooler = bad : worse -> ['bad', 'cooler', 'busier', 'colder', 'hotter']
cool : cooler = big : bigger -> ['big', 'bigger', 'smaller', 'cooler', 'larger']
cool : cooler = bright : brighter -> ['bright', 'cooler', 'brighter', 'warmer', 'dimmer']
cool : cooler = cheap : cheaper -> ['cheap', 'cheaper', 'cooler', 'inexpensive', 'bulkier']
cool : cooler = cold : colder -> ['cooler', 'cold', 'warmer', 'colder', 'hotter']
deep : deeper = easy : easier -> ['easy', 'easier', 'harder', 'simpler', 'difficult']
deep : deeper = fast : faster -> ['fast', 'faster', 'slower', 'smoother', 'quicker']
deep : deeper = good : better -> ['good', 'funnier', 'better', 'sillier', 'trickier']
deep : deeper = great : greater -> ['great', 'greater', 'sillier', 'funnier', 'florenz']
deep : deeper = hard : harder -> ['hard', 'harder', 'tougher', 'easier', 'difficult']
deep : deeper = heavy : heavier -> ['heavy', 'heavier', 'tighter', 'lighter', 'tougher']
deep : deeper = high : higher -> ['high', 'higher', 'trickier', 'nastier', 'steeper']
deep : deeper = hot : hotter -> ['hot', 'hotter', 'softer', 'dirtier', 'colder']
deep : deeper = large : larger -> ['large', 'larger', 'smaller', 'bigger', 'huge']
deep : deeper = long : longer -> ['long', 'longer', 'shorter', 'spindly', 'lengthier']
deep : deeper = loud : louder -> ['loud', 'louder', 'funnier', 'sweeter', 'trickier']
deep : deeper = low : lower -> ['low', 'higher', 'steeper', 'hotter', 'trickier']
deep : deeper = new : newer -> ['new', 'd-new', 'australia-new', 'newish', 'sillier']
deep : deeper = old : older -> ['old', 'older', 'sillier', 'nastier', 'funnier']
deep : deeper = quick : quicker -> ['quick', 'quicker', 'faster', 'tougher', 'funnier']
deep : deeper = safe : safer -> ['safe', 'safer', 'healthier', 'friendlier', 'happier']
deep : deeper = sharp : sharper -> ['sharp', 'sharper', 'bolder', 'tougher', 'tighter']
deep : deeper = short : shorter -> ['short', 'shorter', 'longer', 'lengthier', 'funnier']
deep : deeper = simple : simpler -> ['simple', 'simpler', 'trickier', 'neater', 'looser']
deep : deeper = slow : slower -> ['slow', 'slower', 'faster', 'quicker', 'smoother']
deep : deeper = small : smaller -> ['small', 'smaller', 'larger', 'tiny', 'bigger']
deep : deeper = smart : smarter -> ['smart', 'smarter', 'bolder', 'prettier', 'simpler']
deep : deeper = strong : stronger -> ['strong', 'stronger', 'weaker', 'weak', 'tougher']
deep : deeper = tall : taller -> ['tall', 'taller', 'thicker', 'slimmer', 'thinner']
deep : deeper = tight : tighter -> ['tight', 'tighter', 'looser', 'tougher', 'deeper']
deep : deeper = tough : tougher -> ['tough', 'tougher', 'harder', 'tighter', 'funnier']
deep : deeper = warm : warmer -> ['warm', 'warmer', 'colder', 'drier', 'calmer']
deep : deeper = weak : weaker -> ['weak', 'weaker', 'stronger', 'tougher', 'funnier']
deep : deeper = wide : wider -> ['wider', 'wide', 'broader', 'narrower', 'deeper']
deep : deeper = young : younger -> ['young', 'younger', 'older', 'wealthier', 'pre-teen']
deep : deeper = bad : worse -> ['bad', 'uglier', 'funnier', 'weirder', 'sillier']
deep : deeper = big : bigger -> ['big', 'bigger', 'larger', 'smaller', 'funnier']
deep : deeper = bright : brighter -> ['bright', 'brighter', 'whiter', 'darker', 'sharper']
deep : deeper = cheap : cheaper -> ['cheap', 'cheaper', 'inexpensive', 'riskier', 'simpler']
deep : deeper = cold : colder -> ['cold', 'warmer', 'colder', 'hotter', 'calmer']
deep : deeper = cool : cooler -> ['cool', 'warmer', 'colder', 'calmer', 'hotter']
easy : easier = fast : faster -> ['fast', 'faster', 'slower', 'easier', 'rapidly']
easy : easier = good : better -> ['good', 'better', 'easier', 'sillier', 'funnier']
easy : easier = great : greater -> ['great', 'florenz', 'tremendous', 'immeasurable', 'greater']
easy : easier = hard : harder -> ['hard', 'harder', 'easier', 'difficult', 'tougher']
easy : easier = heavy : heavier -> ['heavy', 'heavier', 'lighter', 'torrential', 'easier']
easy : easier = high : higher -> ['high', 'higher', 'low', 'near-zero', 'ultra-high']
easy : easier = hot : hotter -> ['hot', 'bubbling', 'hotter', 'easier', 'monsoon-influenced']
easy : easier = large : larger -> ['large', 'larger', 'smaller', 'huge', 'bigger']
easy : easier = long : longer -> ['long', 'longer', 'lengthy', 'shorter', 'spindly']
easy : easier = loud : louder -> ['loud', 'louder', 'easier', 'funnier', 'uglier']
easy : easier = low : lower -> ['low', 'higher', 'high', 'lower', 'near-zero']
easy : easier = new : newer -> ['new', 'd-new', 'newish', 'newly-developed', '2-barrel']
easy : easier = old : older -> ['old', 'older', 'younger', 'out-of-date', 'sillier']
easy : easier = quick : quicker -> ['quick', 'easier', 'slower', 'faster', 'speedier']
easy : easier = safe : safer -> ['safe', 'safer', 'easier', 'healthier', 'unsafe']
easy : easier = sharp : sharper -> ['sharp', 'sharper', 'blade-like', 'easier', 'sharpest']
easy : easier = short : shorter -> ['short', 'shorter', 'easier', 'lengthy', 'lengthier']
easy : easier = simple : simpler -> ['simple', 'simpler', 'easier', 'simplistic', 'leaner']
easy : easier = slow : slower -> ['slow', 'slower', 'easier', 'faster', 'slowing']
easy : easier = small : smaller -> ['small', 'smaller', 'larger', 'large', 'smallish']
easy : easier = smart : smarter -> ['smart', 'smarter', 'easier', 'cheaper', 'leaner']
easy : easier = strong : stronger -> ['strong', 'stronger', 'weak', 'weaker', 'firmer']
easy : easier = tall : taller -> ['tall', 'taller', 'thick', 'narrower', 'thinner']
easy : easier = tight : tighter -> ['tight', 'tighter', 'tougher', 'narrower', 'firmer']
easy : easier = tough : tougher -> ['tough', 'tougher', 'easier', 'harder', 'difficult']
easy : easier = warm : warmer -> ['warm', 'warmer', 'drier', 'colder', 'humid']
easy : easier = weak : weaker -> ['weak', 'weaker', 'stronger', 'unstable', 'tougher']
easy : easier = wide : wider -> ['wide', 'wider', 'narrower', 'broader', 'larger']
easy : easier = young : younger -> ['young', 'younger', 'older', 'marriageable', 'middle-aged']
easy : easier = bad : worse -> ['bad', 'uglier', 'worse', 'sillier', 'funnier']
easy : easier = big : bigger -> ['big', 'bigger', 'larger', 'huge', 'smaller']
easy : easier = bright : brighter -> ['bright', 'orange-red', 'brighter', 'pinkish', 'whiter']
easy : easier = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'expensive', 'easier']
easy : easier = cold : colder -> ['cold', 'warmer', 'drier', 'colder', 'cooler']
easy : easier = cool : cooler -> ['cool', 'warmer', 'warm', 'colder', 'cooler']
easy : easier = deep : deeper -> ['deep', 'deeper', 'shallow', 'thick', 'head-first']
fast : faster = good : better -> ['good', 'better', 'funnier', 'cleverer', 'sillier']
fast : faster = great : greater -> ['great', 'greater', 'tremendous', 'bigger', 'florenz']
fast : faster = hard : harder -> ['harder', 'hard', 'easier', 'faster', 'tougher']
fast : faster = heavy : heavier -> ['heavier', 'heavy', 'lighter', 'bulkier', 'faster']
fast : faster = high : higher -> ['high', 'higher', 'faster', 'ultra-high', 'lower']
fast : faster = hot : hotter -> ['hot', 'hotter', 'heavier', 'faster', 'softer']
fast : faster = large : larger -> ['large', 'larger', 'smaller', 'bigger', 'huge']
fast : faster = long : longer -> ['long', 'longer', 'shorter', 'faster', 'narrower']
fast : faster = loud : louder -> ['loud', 'louder', 'faster', 'funnier', 'sweeter']
fast : faster = low : lower -> ['low', 'higher', 'lower', 'steeper', 'hotter']
fast : faster = new : newer -> ['new', 'd-new', '2-barrel', 'australia-new', 'all-new']
fast : faster = old : older -> ['old', 'older', 'faster', 'cleverer', 'newer']
fast : faster = quick : quicker -> ['quick', 'faster', 'slower', 'quicker', 'easier']
fast : faster = safe : safer -> ['safe', 'safer', 'easier', 'faster', 'cheaper']
fast : faster = sharp : sharper -> ['sharp', 'sharper', 'bolder', 'slimmer', 'tougher']
fast : faster = short : shorter -> ['short', 'shorter', 'faster', 'longer', 'slower']
fast : faster = simple : simpler -> ['simple', 'simpler', 'bulkier', 'leaner', 'trickier']
fast : faster = slow : slower -> ['slow', 'slower', 'faster', 'quicker', 'slows']
fast : faster = small : smaller -> ['smaller', 'small', 'larger', 'bigger', 'tiny']
fast : faster = smart : smarter -> ['smart', 'smarter', 'faster', 'cleverer', 'bolder']
fast : faster = strong : stronger -> ['stronger', 'strong', 'weaker', 'tougher', 'weak']
fast : faster = tall : taller -> ['tall', 'taller', 'slimmer', 'thicker', 'thinner']
fast : faster = tight : tighter -> ['tight', 'tighter', 'faster', 'tougher', 'smoother']
fast : faster = tough : tougher -> ['tough', 'tougher', 'harder', 'faster', 'heavier']
fast : faster = warm : warmer -> ['warm', 'warmer', 'colder', 'hotter', 'drier']
fast : faster = weak : weaker -> ['weak', 'weaker', 'stronger', 'tougher', 'cleverer']
fast : faster = wide : wider -> ['wide', 'wider', 'narrower', 'broader', 'larger']
fast : faster = young : younger -> ['young', 'younger', 'older', 'pre-teen', 'middle-aged']
fast : faster = bad : worse -> ['bad', 'worse', 'uglier', 'funnier', 'weirder']
fast : faster = big : bigger -> ['big', 'bigger', 'larger', 'smaller', 'huge']
fast : faster = bright : brighter -> ['bright', 'brighter', 'darker', 'duller', 'redder']
fast : faster = cheap : cheaper -> ['cheaper', 'cheap', 'expensive', 'faster', 'inexpensive']
fast : faster = cold : colder -> ['cold', 'colder', 'warmer', 'hotter', 'cooler']
fast : faster = cool : cooler -> ['cool', 'warmer', 'hotter', 'colder', 'cooler']
fast : faster = deep : deeper -> ['deeper', 'deep', 'narrower', 'shallower', 'faster']
fast : faster = easy : easier -> ['easy', 'easier', 'harder', 'faster', 'difficult']
good : better = great : greater -> ['better', 'great', 'greater', 'bigger', 'florenz']
good : better = hard : harder -> ['hard', 'harder', 'better', 'easier', 'tougher']
good : better = heavy : heavier -> ['heavy', 'heavier', 'better', 'tighter', 'lighter']
good : better = high : higher -> ['high', 'higher', 'better', 'lower', 'low']
good : better = hot : hotter -> ['hot', 'better', 'hotter', 'bubbling', 'cheaper']
