boy : girl = brother : sister -> ['brother', 'sister', 'brother-in-law', 'stepbrother', 'sister-in-law']
brothers : sisters = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'sister-in-law']
brothers : sisters = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'sister-in-law', 'daughter-in-law', 'granddaughter']
brothers : sisters = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'great-uncle']
brothers : sisters = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'woman']
brothers : sisters = brother : sister -> ['brother', 'sister', 'half-sister', 'sister-in-law', 'half-brother']
dad : mom = father : mother -> ['father', 'mother', 'mom', 'grandfather', 'grandmother']
dad : mom = grandfather : grandmother -> ['grandfather', 'grandmother', 'mother', 'aunt', 'mom']
dad : mom = grandpa : grandma -> ['grandpa', 'mom', 'grandma', 'suzie', 'grandad']
dad : mom = grandson : granddaughter -> ['grandson', 'granddaughter', 'son', 'great-grandson', 'great-granddaughter']
dad : mom = groom : bride -> ['groom', 'bridegroom', 'grooms', 'jailer', 'bridesmaid']
dad : mom = he : she -> ['he', 'she', 'they', 'who', 'fresheneesz']
dad : mom = his : her -> ['his', 'their', 'my', 'your', 'its']
dad : mom = husband : wife -> ['husband', 'fiance', 'fiancé', 'boyfriend', 'mother-in-law']
dad : mom = king : queen -> ['king', 'queen', 'songtsän', 'emperor', 'ruler']
dad : mom = man : woman -> ['man', 'woman', 'villager', 'buffoon', 'loner']
dad : mom = nephew : niece -> ['nephew', 'niece', 'granddaughter', 'great-nephew', 'grandson']
dad : mom = policeman : policewoman -> ['policeman', 'patrolman', 'policewoman', 'policemen', 'firefighter']
dad : mom = prince : princess -> ['prince', 'princess', 'duke', 'duchess', 'margravine']
dad : mom = son : daughter -> ['son', 'daughter', 'granddaughter', 'grandson', 'stepdaughter']
dad : mom = sons : daughters -> ['sons', 'daughters', 'grandsons', 'granddaughters', 'nephews']
dad : mom = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'step-sister', 'step-daughter', 'goddaughter']
dad : mom = stepfather : stepmother -> ['stepfather', 'stepmother', 'mom', 'step-father', 'mother-in-law']
dad : mom = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'sister-in-law', 'daughter-in-law', 'stepbrother']
dad : mom = uncle : aunt -> ['uncle', 'aunt', 'brother-in-law', 'father-in-law', 'great-uncle']
dad : mom = boy : girl -> ['boy', 'girl', 'schoolgirl', 'villager', 'mom']
dad : mom = brother : sister -> ['brother', 'brother-in-law', 'sister', 'stepson', 'stepbrother']
dad : mom = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepbrothers', 'half-brothers']
father : mother = grandfather : grandmother -> ['grandmother', 'mother', 'grandfather', 'aunt', 'great-grandmother']
father : mother = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'granny', 'auntie']
father : mother = grandson : granddaughter -> ['granddaughter', 'grandson', 'daughter', 'great-granddaughter', 'grandchild']
father : mother = groom : bride -> ['groom', 'bridegroom', 'grooms', 'housemaid', 'bride']
father : mother = he : she -> ['he', 'she', 'who', 'they', 'marji']
father : mother = his : her -> ['his', 'my', 'their', 'your', 'our']
father : mother = husband : wife -> ['husband', 'mother', 'mother-in-law', 'fiance', 'wife']
father : mother = king : queen -> ['king', 'queen', 'princess', 'tsarina', 'monarch']
father : mother = man : woman -> ['man', 'woman', 'girl', 'waif', 'shepherdess']
father : mother = nephew : niece -> ['niece', 'nephew', 'half-sister', 'granddaughter', 'stepdaughter']
father : mother = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'policemen', 'shopkeeper']
father : mother = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'electress']
father : mother = son : daughter -> ['son', 'daughter', 'granddaughter', 'stepdaughter', 'grandchild']
father : mother = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'nieces', 'grandsons']
father : mother = stepbrother : stepsister -> ['stepsister', 'stepbrother', 'daughter-in-law', 'stepdaughter', 'sister-in-law']
father : mother = stepfather : stepmother -> ['stepfather', 'stepmother', 'mother', 'mother-in-law', 'grandmother']
father : mother = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'sister-in-law', 'daughter-in-law', 'stepsister']
father : mother = uncle : aunt -> ['aunt', 'uncle', 'grandmother', 'mother', 'mother-in-law']
father : mother = boy : girl -> ['boy', 'girl', 'schoolgirl', 'toddler', 'lad']
father : mother = brother : sister -> ['sister', 'brother', 'mother', 'sister-in-law', 'stepdaughter']
father : mother = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'aunts', 'stepbrothers']
father : mother = dad : mom -> ['dad', 'mom', 'mother', 'mum', 'grandma']
grandfather : grandmother = grandpa : grandma -> ['grandpa', 'grandma', 'granny', 'grandad', 'suzie']
grandfather : grandmother = grandson : granddaughter -> ['grandson', 'granddaughter', 'stepdaughter', 'sister-in-law', 'daughter-in-law']
grandfather : grandmother = groom : bride -> ['groom', 'bridegroom', 'babysitter', 'grooms', 'housemaid']
grandfather : grandmother = he : she -> ['he', 'she', 'who', 'they', 'marji']
grandfather : grandmother = his : her -> ['his', 'their', 'my', 'your', 'its']
grandfather : grandmother = husband : wife -> ['husband', 'fiancé', 'mother-in-law', 'fiance', 'boyfriend']
grandfather : grandmother = king : queen -> ['king', 'queen', 'tsarina', 'princess', 'songtsän']
grandfather : grandmother = man : woman -> ['man', 'woman', 'girl', 'seductress', 'milkman']
grandfather : grandmother = nephew : niece -> ['nephew', 'niece', 'half-sister', 'half-brother', 'stepdaughter']
grandfather : grandmother = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'policemen', 'shopkeeper']
grandfather : grandmother = prince : princess -> ['prince', 'princess', 'landgravine', 'duchess', 'margravine']
grandfather : grandmother = son : daughter -> ['son', 'daughter', 'stepdaughter', 'granddaughter', 'grandchild']
grandfather : grandmother = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'nieces', 'stepdaughters']
grandfather : grandmother = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'fiancee', 'goddaughter', 'mother-in-law']
grandfather : grandmother = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'step-father']
grandfather : grandmother = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'sister-in-law', 'daughter-in-law', 'stepsister']
grandfather : grandmother = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'mother-in-law', 'stepmother']
grandfather : grandmother = boy : girl -> ['boy', 'girl', 'schoolgirl', 'teenager', 'toddler']
grandfather : grandmother = brother : sister -> ['brother', 'sister', 'sister-in-law', 'half-sister', 'stepdaughter']
grandfather : grandmother = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'aunts', 'stepsisters']
grandfather : grandmother = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'grandma']
grandfather : grandmother = father : mother -> ['father', 'mother', 'grandmother', 'stepfather', 'mother-in-law']
grandpa : grandma = grandson : granddaughter -> ['grandson', 'granddaughter', 'son', 'great-grandson', 'great-granddaughter']
grandpa : grandma = groom : bride -> ['groom', 'bridegroom', 'grooms', 'jailer', 'bridesmaid']
grandpa : grandma = he : she -> ['he', 'she', 'who', 'they', 'handschriftenliste']
grandpa : grandma = his : her -> ['his', 'their', 'your', 'my', 'its']
grandpa : grandma = husband : wife -> ['husband', 'fiance', 'fiancé', 'boyfriend', 'mother-in-law']
grandpa : grandma = king : queen -> ['king', 'queen', 'monarch', 'maharajah', 'songtsän']
grandpa : grandma = man : woman -> ['man', 'woman', 'girl', 'shepherdess', 'seductress']
grandpa : grandma = nephew : niece -> ['nephew', 'niece', 'half-brother', 'grandson', 'great-nephew']
grandpa : grandma = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'policemen', 'shopkeeper']
grandpa : grandma = prince : princess -> ['prince', 'princess', 'duchess', 'archduke', 'margravine']
grandpa : grandma = son : daughter -> ['son', 'daughter', 'grandson', 'granddaughter', 'stepdaughter']
grandpa : grandma = sons : daughters -> ['sons', 'daughters', 'grandsons', 'granddaughters', 'nephews']
grandpa : grandma = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'great-aunt', 'step-sister', 'step-daughter']
grandpa : grandma = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'step-father']
grandpa : grandma = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'daughter-in-law', 'sister-in-law', 'stepbrother']
grandpa : grandma = uncle : aunt -> ['uncle', 'aunt', 'grandfather', 'grandmother', 'father-in-law']
grandpa : grandma = boy : girl -> ['boy', 'girl', 'schoolgirl', 'woman', 'toddler']
grandpa : grandma = brother : sister -> ['brother', 'sister', 'brother-in-law', 'stepson', 'stepbrother']
grandpa : grandma = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepbrothers', 'stepsisters']
grandpa : grandma = dad : mom -> ['dad', 'grandma', 'mom', 'mum', 'grandmother']
grandpa : grandma = father : mother -> ['father', 'mother', 'grandfather', 'grandmother', 'father-in-law']
grandpa : grandma = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'aunt', 'mother']
grandson : granddaughter = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bridesmaid', 'bride']
grandson : granddaughter = he : she -> ['he', 'she', 'who', 'they', 'kagenobu']
grandson : granddaughter = his : her -> ['his', 'their', 'my', 'your', 'its']
grandson : granddaughter = husband : wife -> ['husband', 'fiancé', 'fiance', 'boyfriend', 'sister-in-law']
grandson : granddaughter = king : queen -> ['king', 'queen', 'princess', 'tsarina', 'tsaritsa']
grandson : granddaughter = man : woman -> ['man', 'woman', 'girl', 'divorcee', 'shepherdess']
grandson : granddaughter = nephew : niece -> ['niece', 'nephew', 'granddaughter', 'half-sister', 'stepdaughter']
grandson : granddaughter = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'shopkeeper', 'waiter']
grandson : granddaughter = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'margravine']
grandson : granddaughter = son : daughter -> ['daughter', 'granddaughter', 'son', 'stepdaughter', 'great-granddaughter']
grandson : granddaughter = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'nieces', 'grandsons']
grandson : granddaughter = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'stepdaughter', 'sister-in-law', 'daughter-in-law']
grandson : granddaughter = stepfather : stepmother -> ['stepfather', 'stepmother', 'sister-in-law', 'grandmother', 'mother-in-law']
grandson : granddaughter = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'sister-in-law', 'daughter-in-law', 'granddaughter']
grandson : granddaughter = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'great-uncle', 'great-aunt']
grandson : granddaughter = boy : girl -> ['boy', 'girl', 'schoolgirl', 'woman', 'waitress']
grandson : granddaughter = brother : sister -> ['brother', 'sister', 'stepdaughter', 'sister-in-law', 'half-sister']
grandson : granddaughter = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'aunts', 'brothers-in-law']
grandson : granddaughter = dad : mom -> ['dad', 'mom', 'mum', 'grandma', 'grandmother']
grandson : granddaughter = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
grandson : granddaughter = grandfather : grandmother -> ['grandfather', 'grandmother', 'aunt', 'mother', 'great-grandmother']
grandson : granddaughter = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'auntie', 'granny']
groom : bride = he : she -> ['he', 'she', 'they', 'who', 'raphael1']
groom : bride = his : her -> ['his', 'their', 'my', 'your', 'its']
groom : bride = husband : wife -> ['husband', 'wife', 'bride', 'sister-in-law', 'father-in-law']
groom : bride = king : queen -> ['king', 'bride', 'queen', 'princess', 'kings']
groom : bride = man : woman -> ['man', 'bride', 'woman', 'girl', 'drifter']
groom : bride = nephew : niece -> ['nephew', 'niece', 'half-brother', 'half-sister', 'grandson']
groom : bride = policeman : policewoman -> ['policeman', 'bride', 'gunfighter', 'deserter', 'policewoman']
groom : bride = prince : princess -> ['prince', 'princess', 'bride', 'margravine', 'landgravine']
groom : bride = son : daughter -> ['son', 'daughter', 'grandson', 'granddaughter', 'stepson']
groom : bride = sons : daughters -> ['sons', 'daughters', 'grandsons', 'nephews', 'granddaughters']
groom : bride = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'goddaughter', 'sister-in-law', 'daughter-in-law']
groom : bride = stepfather : stepmother -> ['stepfather', 'stepmother', 'fiancée', 'sister-in-law', 'bride']
groom : bride = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'sister-in-law', 'daughter-in-law', 'stepbrother']
groom : bride = uncle : aunt -> ['uncle', 'father-in-law', 'aunt', 'great-uncle', 'half-brother']
groom : bride = boy : girl -> ['boy', 'girl', 'bride', 'schoolgirl', 'drifter']
groom : bride = brother : sister -> ['brother', 'half-brother', 'brother-in-law', 'sister', 'stepson']
groom : bride = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'sons', 'half-brothers']
groom : bride = dad : mom -> ['dad', 'bride', 'mom', 'mommy', 'mum']
groom : bride = father : mother -> ['father', 'father-in-law', 'grandfather', 'mother', 'grandmother']
groom : bride = grandfather : grandmother -> ['grandfather', 'grandmother', 'father-in-law', 'great-grandfather', 'great-grandmother']
groom : bride = grandpa : grandma -> ['grandpa', 'auntie', 'alfie', 'mommy', 'grandma']
groom : bride = grandson : granddaughter -> ['grandson', 'granddaughter', 'son', 'nephew', 'great-grandson']
he : she = his : her -> ['his', 'their', 'my', 'your', 'its']
he : she = husband : wife -> ['husband', 'boyfriend', 'fiancé', 'fiance', 'fiancee']
he : she = king : queen -> ['king', 'queen', 'prince', 'emperor', 'monarch']
he : she = man : woman -> ['man', 'woman', 'girl', 'loner', 'charmer']
he : she = nephew : niece -> ['nephew', 'niece', 'half-brother', 'half-sister', 'grandson']
he : she = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'masseuse', 'milkman']
he : she = prince : princess -> ['prince', 'princess', 'archduke', 'landgravine', 'margravine']
he : she = son : daughter -> ['son', 'daughter', 'grandson', 'granddaughter', 'stepdaughter']
he : she = sons : daughters -> ['sons', 'daughters', 'grandsons', 'granddaughters', 'nieces']
he : she = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'goddaughter', 'fiancee', 'stepdaughter']
he : she = stepfather : stepmother -> ['stepfather', 'stepmother', 'fiance', 'fiancee', 'step-father']
he : she = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'stepbrother', 'daughter-in-law', 'stepsister']
he : she = uncle : aunt -> ['uncle', 'aunt', 'grandfather', 'great-uncle', 'brother-in-law']
he : she = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'teenager']
he : she = brother : sister -> ['brother', 'sister', 'stepson', 'half-brother', 'brother-in-law']
he : she = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'brothers-in-law', 'half-brothers']
he : she = dad : mom -> ['dad', 'mom', 'mum', 'grandma', 'grandpa']
he : she = father : mother -> ['father', 'mother', 'grandfather', 'grandmother', 'stepfather']
he : she = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'aunt', 'great-aunt']
he : she = grandpa : grandma -> ['grandpa', 'grandma', 'queenie', 'suzie', 'margie']
he : she = grandson : granddaughter -> ['grandson', 'granddaughter', 'nephew', 'son', 'great-grandson']
he : she = groom : bride -> ['groom', 'bridegroom', 'bride', 'grooms', 'bridesmaid']
his : her = husband : wife -> ['husband', 'fiancé', 'fiance', 'boyfriend', 'ex-husband']
his : her = king : queen -> ['king', 'him', 'queen', 'landgrave', 'pharaoh']
his : her = man : woman -> ['man', 'woman', 'shepherdess', 'girl', 'scarecrow']
his : her = nephew : niece -> ['nephew', 'niece', 'half-brother', 'half-sister', 'grandson']
his : her = policeman : policewoman -> ['policeman', 'policewoman', 'policemen', 'patrolman', 'bartender']
his : her = prince : princess -> ['prince', 'princess', 'archduke', 'duke', 'landgrave']
his : her = son : daughter -> ['son', 'daughter', 'grandson', 'granddaughter', 'stepson']
his : her = sons : daughters -> ['sons', 'daughters', 'nephews', 'grandsons', 'nieces']
his : her = stepbrother : stepsister -> ['stepbrother', 'stepdaughter', 'stepsister', 'stepson', 'sister-in-law']
his : her = stepfather : stepmother -> ['stepfather', 'stepmother', 'ex-husband', 'fiance', 'fiancé']
his : her = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'sister-in-law', 'stepbrother', 'daughter-in-law']
his : her = uncle : aunt -> ['uncle', 'half-brother', 'aunt', 'nephew', 'brother-in-law']
his : her = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'lad']
his : her = brother : sister -> ['brother', 'half-brother', 'stepson', 'sister', 'brother-in-law']
his : her = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'nephews', 'half-brothers']
his : her = dad : mom -> ['dad', 'mom', 'mum', 'pinga', 'sunaina']
his : her = father : mother -> ['father', 'mother', 'grandfather', 'stepfather', 'grandmother']
his : her = grandfather : grandmother -> ['grandfather', 'grandmother', 'uncle', 'great-grandfather', 'stepfather']
his : her = grandpa : grandma -> ['grandpa', 'janine', 'anya', 'grandma', 'lexi']
his : her = grandson : granddaughter -> ['grandson', 'granddaughter', 'nephew', 'son', 'son-in-law']
his : her = groom : bride -> ['groom', 'bridegroom', 'fidget', 'sunaina', 'cosette']
his : her = he : she -> ['he', 'she', 'it', 'him', 'who']
husband : wife = king : queen -> ['king', 'queen', 'princess', 'landgravine', 'kings']
husband : wife = man : woman -> ['man', 'woman', 'girl', 'shepherdess', 'wench']
husband : wife = nephew : niece -> ['nephew', 'niece', 'wife', 'granddaughter', 'great-nephew']
husband : wife = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'policemen', 'militiaman']
husband : wife = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'electress']
husband : wife = son : daughter -> ['son', 'daughter', 'wife', 'granddaughter', 'grandson']
husband : wife = sons : daughters -> ['sons', 'daughters', 'wife', 'grandsons', 'nephews']
husband : wife = stepbrother : stepsister -> ['wife', 'stepbrother', 'fiancée', 'stepdaughter', 'fiancee']
husband : wife = stepfather : stepmother -> ['wife', 'stepfather', 'fiancée', 'sister-in-law', 'stepmother']
husband : wife = stepson : stepdaughter -> ['wife', 'stepdaughter', 'stepson', 'sister-in-law', 'fiancée']
husband : wife = uncle : aunt -> ['uncle', 'wife', 'aunt', 'great-uncle', 'great-grandfather']
husband : wife = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'lad']
husband : wife = brother : sister -> ['brother', 'wife', 'sister', 'brother-in-law', 'stepdaughter']
husband : wife = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'half-brothers', 'wife']
husband : wife = dad : mom -> ['dad', 'wife', 'mom', 'girlfriend', 'fiancee']
husband : wife = father : mother -> ['wife', 'father', 'mother', 'grandfather', 'grandmother']
husband : wife = grandfather : grandmother -> ['grandfather', 'wife', 'grandmother', 'great-grandfather', 'great-grandmother']
husband : wife = grandpa : grandma -> ['grandpa', 'auntie', 'grandma', 'granny', 'grandad']
husband : wife = grandson : granddaughter -> ['grandson', 'granddaughter', 'wife', 'daughter', 'great-grandson']
husband : wife = groom : bride -> ['groom', 'bride', 'wife', 'bride-to-be', 'grooms']
husband : wife = he : she -> ['he', 'she', 'they', 'who', 'handschriftenliste']
husband : wife = his : her -> ['his', 'their', 'your', 'my', 'its']
king : queen = man : woman -> ['man', 'woman', 'girl', 'seductress', 'tomboy']
king : queen = nephew : niece -> ['niece', 'nephew', 'half-sister', 'granddaughter', 'half-brother']
king : queen = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'stewardess', 'firefighter']
king : queen = prince : princess -> ['prince', 'queen', 'princess', 'duchess', 'empress']
king : queen = son : daughter -> ['son', 'daughter', 'granddaughter', 'niece', 'stepdaughter']
king : queen = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'nieces', 'sisters']
king : queen = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'great-aunt', 'daughter-in-law', 'stepdaughter']
king : queen = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'godmother']
king : queen = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'daughter-in-law', 'sister-in-law', 'granddaughter']
king : queen = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'great-aunt']
king : queen = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'tomboy']
king : queen = brother : sister -> ['brother', 'sister', 'half-sister', 'stepdaughter', 'sister-in-law']
king : queen = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepsisters', 'stepbrothers']
king : queen = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'grandma']
king : queen = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
king : queen = grandfather : grandmother -> ['grandfather', 'grandmother', 'aunt', 'mother', 'great-grandmother']
king : queen = grandpa : grandma -> ['grandpa', 'grandma', 'auntie', 'granny', 'mommy']
king : queen = grandson : granddaughter -> ['granddaughter', 'grandson', 'niece', 'daughter', 'great-granddaughter']
king : queen = groom : bride -> ['groom', 'queen', 'bridegroom', 'bride', 'bridesmaid']
king : queen = he : she -> ['he', 'she', 'who', 'they', 'raphael1']
king : queen = his : her -> ['his', 'their', 'its', 'my', 'your']
king : queen = husband : wife -> ['husband', 'mother-in-law', 'fiance', 'daughter-in-law', 'sister-in-law']
man : woman = nephew : niece -> ['nephew', 'niece', 'half-sister', 'granddaughter', 'half-brother']
man : woman = policeman : policewoman -> ['policeman', 'policewoman', 'woman', 'firefighter', 'patrolman']
man : woman = prince : princess -> ['prince', 'princess', 'duchess', 'margravine', 'archduke']
man : woman = son : daughter -> ['son', 'daughter', 'granddaughter', 'grandson', 'stepdaughter']
man : woman = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'grandsons', 'nephews']
man : woman = stepbrother : stepsister -> ['stepbrother', 'daughter-in-law', 'stepsister', 'stepdaughter', 'sister-in-law']
man : woman = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'sister-in-law', 'mother-in-law']
