boy : girl = brother : sister -> ['brother', 'stepbrother', 'half-brother', 'half-sister', 'niece']
dad : mom = stepbrother : stepsister -> ['stepbrother', 'step-sister', 'step-mother', 'step-daughter', 'stepsister']
dad : mom = stepfather : stepmother -> ['stepfather', 'stepmother', 'mom', 'step-mother', 'step-father']
dad : mom = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'step-daughter', 'step-son', 'step-sister']
dad : mom = uncle : aunt -> ['uncle', 'mom', 'nephew', 'aunt', 'grandfather']
dad : mom = boy : girl -> ['boy', 'girl', 'mom', 'girls', 'kitten']
dad : mom = brother : sister -> ['brother', 'half-brother', 'mom', 'nephew', 'stepbrother']
dad : mom = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'mom', 'stepbrothers']
father : mother = grandfather : grandmother -> ['mother', 'grandmother', 'grandfather', 'aunt', 'great-grandmother']
father : mother = grandpa : grandma -> ['grandpa', 'grandma', 'auntie', 'granddad', 'grandad']
father : mother = grandson : granddaughter -> ['granddaughter', 'grandson', 'niece', 'daughter', 'great-granddaughter']
father : mother = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaids', 'bride-to-be']
father : mother = he : she -> ['he', 'she', 'mother', 'keckley', 'they']
father : mother = his : her -> ['his', 'her', 'their', 'your', 'my']
father : mother = husband : wife -> ['husband', 'mother', 'mother-in-law', 'stepmother', 'daughter-in-law']
father : mother = king : queen -> ['king', 'queen', 'kings', 'princess', 'monarch']
father : mother = man : woman -> ['man', 'woman', 'girl', 'person', 'wench']
father : mother = nephew : niece -> ['niece', 'nephew', 'granddaughter', 'daughter', 'sister-in-law']
father : mother = policeman : policewoman -> ['policeman', 'policewoman', 'schoolgirl', 'prostitute', 'housemaid']
father : mother = prince : princess -> ['prince', 'princess', 'princesses', 'feodora', 'electress']
father : mother = son : daughter -> ['daughter', 'son', 'granddaughter', 'niece', 'mother']
father : mother = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'half-sisters', 'daughter']
father : mother = stepbrother : stepsister -> ['stepbrother', 'step-sister', 'stepsister', 'step-daughter', 'step-mother']
father : mother = stepfather : stepmother -> ['stepfather', 'mother', 'stepmother', 'sister-in-law', 'mother-in-law']
father : mother = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'sister-in-law', 'step-daughter', 'niece']
father : mother = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'mother', 'niece']
father : mother = boy : girl -> ['boy', 'girl', 'schoolgirl', 'girls', 'woman']
father : mother = brother : sister -> ['brother', 'sister', 'mother', 'half-sister', 'sister-in-law']
father : mother = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'mother', 'half-sisters']
father : mother = dad : mom -> ['dad', 'mother', 'mom', 'mum', 'grandmother']
grandfather : grandmother = grandpa : grandma -> ['grandpa', 'grandma', 'granddad', 'grandmother', 'auntie']
grandfather : grandmother = grandson : granddaughter -> ['granddaughter', 'niece', 'grandmother', 'grandson', 'half-sister']
grandfather : grandmother = groom : bride -> ['groom', 'bridegroom', 'bride', 'housekeeper', 'bride-to-be']
grandfather : grandmother = he : she -> ['he', 'she', 'keckley', 'skyla', 'budnick']
grandfather : grandmother = his : her -> ['his', 'her', 'their', 'your', 'my']
grandfather : grandmother = husband : wife -> ['husband', 'grandmother', 'mother-in-law', 'stepmother', 'fianc']
grandfather : grandmother = king : queen -> ['king', 'queen', 'princess', 'kings', 'monarch']
grandfather : grandmother = man : woman -> ['man', 'woman', 'girl', 'schoolgirl', 'person']
grandfather : grandmother = nephew : niece -> ['niece', 'grandmother', 'nephew', 'sister-in-law', 'granddaughter']
grandfather : grandmother = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'waitress', 'schoolgirl']
grandfather : grandmother = prince : princess -> ['prince', 'princess', 'duchess', 'mrtha', 'feodora']
grandfather : grandmother = son : daughter -> ['son', 'daughter', 'niece', 'granddaughter', 'half-sister']
grandfather : grandmother = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'half-sisters', 'siblings']
grandfather : grandmother = stepbrother : stepsister -> ['stepsister', 'step-sister', 'stepbrother', 'step-mother', 'great-aunt']
grandfather : grandmother = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'step-mother']
grandfather : grandmother = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'step-sister', 'sister-in-law', 'step-daughter']
grandfather : grandmother = uncle : aunt -> ['grandmother', 'aunt', 'uncle', 'mother-in-law', 'great-aunt']
grandfather : grandmother = boy : girl -> ['boy', 'girl', 'schoolgirl', 'babysitter', 'girls']
grandfather : grandmother = brother : sister -> ['brother', 'grandmother', 'half-sister', 'stepsister', 'sister']
grandfather : grandmother = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepsisters', 'aunts']
grandfather : grandmother = dad : mom -> ['dad', 'mom', 'grandmother', 'mum', 'mother']
grandfather : grandmother = father : mother -> ['grandmother', 'mother', 'father', 'aunt', 'mother-in-law']
grandpa : grandma = grandson : granddaughter -> ['grandson', 'granddaughter', 'niece', 'great-grandson', 'nephew']
grandpa : grandma = groom : bride -> ['groom', 'bridegroom', 'bride', 'grandma', 'bridesmaids']
grandpa : grandma = he : she -> ['he', 'she', 'it', 'keckley', 'there']
grandpa : grandma = his : her -> ['his', 'her', 'my', 'your', 'someones']
grandpa : grandma = husband : wife -> ['husband', 'ex-husband', 'fianc', 'boyfriend', 'mother-in-law']
grandpa : grandma = king : queen -> ['king', 'queen', 'kings', 'monarch', 'kingdom']
grandpa : grandma = man : woman -> ['man', 'woman', 'person', 'girl', 'grandma']
grandpa : grandma = nephew : niece -> ['nephew', 'niece', 'grandson', 'granddaughter', 'son-in-law']
grandpa : grandma = policeman : policewoman -> ['policeman', 'policewoman', 'grandma', 'policemen', 'shoplifter']
grandpa : grandma = prince : princess -> ['prince', 'princess', 'princes', 'mrtha', 'feodora']
grandpa : grandma = son : daughter -> ['son', 'daughter', 'grandson', 'half-brother', 'sons']
grandpa : grandma = sons : daughters -> ['sons', 'daughters', 'siblings', 'granddaughters', 'nephews']
grandpa : grandma = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'step-daughter', 'step-sister', 'step-brother']
grandpa : grandma = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandma', 'step-father', 'mother-in-law']
grandpa : grandma = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'niece', 'step-daughter', 'daughter']
grandpa : grandma = uncle : aunt -> ['uncle', 'grandma', 'aunt', 'grandmother', 'grandfather']
grandpa : grandma = boy : girl -> ['boy', 'girl', 'grandma', 'schoolgirl', 'girls']
grandpa : grandma = brother : sister -> ['brother', 'half-brother', 'grandma', 'brother-in-law', 'son']
grandpa : grandma = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'sons', 'grandma']
grandpa : grandma = dad : mom -> ['dad', 'grandma', 'mom', 'mum', 'mother']
grandpa : grandma = father : mother -> ['father', 'mother', 'grandmother', 'grandma', 'parents']
grandpa : grandma = grandfather : grandmother -> ['grandfather', 'grandmother', 'grandma', 'father', 'great-grandfather']
grandson : granddaughter = groom : bride -> ['groom', 'bridegroom', 'bridesmaids', 'bride-to-be', 'bride']
grandson : granddaughter = he : she -> ['he', 'she', 'keckley', 'budnick', 'kosilek']
grandson : granddaughter = his : her -> ['his', 'her', 'their', 'xyr', 'my']
grandson : granddaughter = husband : wife -> ['husband', 'fianc', 'ex-husband', 'mother-in-law', 'stepsister']
grandson : granddaughter = king : queen -> ['king', 'queen', 'princess', 'liliuokalani', 'kings']
grandson : granddaughter = man : woman -> ['man', 'woman', 'girl', 'seductress', 'schoolgirl']
grandson : granddaughter = nephew : niece -> ['granddaughter', 'niece', 'nephew', 'daughter', 'sister-in-law']
grandson : granddaughter = policeman : policewoman -> ['policeman', 'policewoman', 'schoolgirl', 'policemen', 'shopkeeper']
grandson : granddaughter = prince : princess -> ['prince', 'princess', 'feodora', 'mrtha', 'hrh']
grandson : granddaughter = son : daughter -> ['daughter', 'son', 'granddaughter', 'niece', 'stepdaughter']
grandson : granddaughter = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'half-sisters', 'granddaughter']
grandson : granddaughter = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'step-daughter', 'step-sister', 'step-mother']
grandson : granddaughter = stepfather : stepmother -> ['stepfather', 'stepmother', 'stepsister', 'step-father', 'sister-in-law']
grandson : granddaughter = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'granddaughter', 'step-daughter', 'niece']
grandson : granddaughter = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'granddaughter', 'niece']
grandson : granddaughter = boy : girl -> ['boy', 'girl', 'schoolgirl', 'waif', 'tomboy']
grandson : granddaughter = brother : sister -> ['brother', 'granddaughter', 'half-sister', 'niece', 'sister']
grandson : granddaughter = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'half-sisters', 'stepsisters']
grandson : granddaughter = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'aunt']
grandson : granddaughter = father : mother -> ['father', 'mother', 'grandmother', 'mother-in-law', 'great-aunt']
grandson : granddaughter = grandfather : grandmother -> ['grandfather', 'grandmother', 'granddaughter', 'niece', 'aunt']
grandson : granddaughter = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'granddad', 'trixie']
groom : bride = he : she -> ['he', 'she', 'bride', 'it', 'unperformed']
groom : bride = his : her -> ['his', 'her', 'bride', 'my', 'their']
groom : bride = husband : wife -> ['husband', 'bride', 'fianc', 'boyfriend', 'stepfather']
groom : bride = king : queen -> ['king', 'queen', 'bride', 'monarch', 'adulyadej']
groom : bride = man : woman -> ['man', 'woman', 'bride', 'girl', 'schoolgirl']
groom : bride = nephew : niece -> ['nephew', 'brother-in-law', 'half-brother', 'grandson', 'niece']
groom : bride = policeman : policewoman -> ['policeman', 'policewoman', 'bride', 'schoolgirl', 'teenager']
groom : bride = prince : princess -> ['prince', 'princess', 'bride', 'consort', 'vsevolodovich']
groom : bride = son : daughter -> ['son', 'daughter', 'half-brother', 'nephew', 'grandson']
groom : bride = sons : daughters -> ['sons', 'daughters', 'brothers', 'son', 'bride']
groom : bride = stepbrother : stepsister -> ['stepbrother', 'step-brother', 'stepsister', 'step-daughter', 'sister-in-law']
groom : bride = stepfather : stepmother -> ['stepfather', 'stepmother', 'bride', 'mother-in-law', 'step-father']
groom : bride = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'stepbrother', 'brother-in-law', 'half-brother']
groom : bride = uncle : aunt -> ['uncle', 'brother-in-law', 'nephew', 'aunt', 'grandfather']
groom : bride = boy : girl -> ['boy', 'girl', 'bride', 'schoolgirl', 'teenager']
groom : bride = brother : sister -> ['brother', 'half-brother', 'brother-in-law', 'nephew', 'stepbrother']
groom : bride = brothers : sisters -> ['brothers', 'sisters', 'bride', 'sons', 'brother']
groom : bride = dad : mom -> ['dad', 'bride', 'mom', 'mother', 'sweetheart']
groom : bride = father : mother -> ['father', 'mother', 'bride', 'stepfather', 'grandmother']
groom : bride = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'uncle', 'great-grandfather']
groom : bride = grandpa : grandma -> ['grandpa', 'grandma', 'bride', 'auntie', 'smurfette']
groom : bride = grandson : granddaughter -> ['grandson', 'nephew', 'granddaughter', 'great-grandson', 'half-brother']
he : she = his : her -> ['his', 'her', 'their', 'nessarose', 'aegisthus']
he : she = husband : wife -> ['husband', 'ex-husband', 'fianc', 'boyfriend', 'stepfather']
he : she = king : queen -> ['king', 'prince', 'queen', 'monarch', 'kings']
he : she = man : woman -> ['man', 'woman', 'girl', 'person', 'tomboy']
he : she = nephew : niece -> ['nephew', 'grandson', 'half-brother', 'granddaughter', 'stepson']
he : she = policeman : policewoman -> ['policeman', 'policewoman', 'policemen', 'police', 'patrolman']
he : she = prince : princess -> ['prince', 'princess', 'hrh', 'king', 'feodora']
he : she = son : daughter -> ['son', 'grandson', 'daughter', 'half-brother', 'nephew']
he : she = sons : daughters -> ['sons', 'daughters', 'stepsons', 'siblings', 'grandchildren']
he : she = stepbrother : stepsister -> ['stepbrother', 'step-daughter', 'step-sister', 'stepsister', 'step-father']
he : she = stepfather : stepmother -> ['stepfather', 'husband', 'fianc', 'ex-husband', 'step-father']
he : she = stepson : stepdaughter -> ['stepson', 'step-daughter', 'ex-husband', 'stepbrother', 'step-son']
he : she = uncle : aunt -> ['uncle', 'ex-husband', 'nephew', 'aunt', 'grandfather']
he : she = boy : girl -> ['boy', 'girl', 'schoolgirl', 'tomboy', 'girls']
he : she = brother : sister -> ['brother', 'half-brother', 'stepbrother', 'brother-in-law', 'husband']
he : she = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'sons', 'stepsons']
he : she = dad : mom -> ['dad', 'mom', 'boyfriend', 'mum', 'dads']
he : she = father : mother -> ['father', 'husband', 'mother', 'stepfather', 'ex-husband']
he : she = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'husband', 'grandson']
he : she = grandpa : grandma -> ['grandpa', 'grandad', 'granddad', 'grandma', 'morty']
he : she = grandson : granddaughter -> ['grandson', 'granddaughter', 'great-grandson', 'nephew', 'son']
he : she = groom : bride -> ['groom', 'bridegroom', 'bridesmaids', 'bride', 'eilonwy']
his : her = husband : wife -> ['husband', 'fianc', 'boyfriend', 'ex-husband', 'stepfather']
his : her = king : queen -> ['king', 'queen', 'monarch', 'prince', 'princess']
his : her = man : woman -> ['man', 'woman', 'girl', 'person', 'divorcee']
his : her = nephew : niece -> ['nephew', 'grandson', 'niece', 'granddaughter', 'half-brother']
his : her = policeman : policewoman -> ['policeman', 'policewoman', 'shopkeeper', 'bartender', 'waitress']
his : her = prince : princess -> ['prince', 'princess', 'hrh', 'vadhana', 'princesses']
his : her = son : daughter -> ['son', 'daughter', 'grandson', 'half-brother', 'granddaughter']
his : her = sons : daughters -> ['sons', 'daughters', 'siblings', 'grandchildren', 'granddaughters']
his : her = stepbrother : stepsister -> ['stepbrother', 'step-sister', 'step-daughter', 'stepsister', 'step-mother']
his : her = stepfather : stepmother -> ['stepfather', 'stepmother', 'fianc', 'step-father', 'step-mother']
his : her = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'stepbrother', 'step-daughter', 'niece']
his : her = uncle : aunt -> ['uncle', 'aunt', 'grandfather', 'grandmother', 'nephew']
his : her = boy : girl -> ['boy', 'girl', 'schoolgirl', 'tomboy', 'kitten']
his : her = brother : sister -> ['brother', 'half-brother', 'stepbrother', 'brother-in-law', 'nephew']
his : her = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'brother', 'sons']
his : her = dad : mom -> ['dad', 'mom', 'mum', 'boyfriend', 'grandmother']
his : her = father : mother -> ['father', 'mother', 'grandmother', 'stepfather', 'husband']
his : her = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'mother', 'great-grandfather']
his : her = grandpa : grandma -> ['grandpa', 'grandad', 'granddad', 'grandma', 'mork']
his : her = grandson : granddaughter -> ['grandson', 'granddaughter', 'nephew', 'great-grandson', 'niece']
his : her = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaids', 'bride-to-be']
his : her = he : she -> ['he', 'she', 'slimmy', 'layfon', 'adol']
husband : wife = king : queen -> ['king', 'queen', 'wife', 'kings', 'princess']
husband : wife = man : woman -> ['man', 'woman', 'wife', 'girl', 'widow']
husband : wife = nephew : niece -> ['wife', 'nephew', 'niece', 'granddaughter', 'daughter']
husband : wife = policeman : policewoman -> ['policeman', 'wife', 'policewoman', 'girlfriend', 'policemen']
husband : wife = prince : princess -> ['prince', 'princess', 'wife', 'principality', 'princes']
husband : wife = son : daughter -> ['daughter', 'wife', 'son', 'granddaughter', 'niece']
husband : wife = sons : daughters -> ['daughters', 'sons', 'wife', 'granddaughters', 'grandsons']
husband : wife = stepbrother : stepsister -> ['wife', 'ex-wife', 'stepbrother', 'wife-to-be', 'step-daughter']
husband : wife = stepfather : stepmother -> ['wife', 'ex-wife', 'girlfriend', 'stepfather', 'sister-in-law']
husband : wife = stepson : stepdaughter -> ['wife', 'stepdaughter', 'stepson', 'niece', 'ex-wife']
husband : wife = uncle : aunt -> ['wife', 'uncle', 'aunt', 'ex-wife', 'niece']
husband : wife = boy : girl -> ['boy', 'girl', 'wife', 'girlfriend', 'ex-girlfriend']
husband : wife = brother : sister -> ['wife', 'brother', 'niece', 'daughter', 'sister-in-law']
husband : wife = brothers : sisters -> ['brothers', 'wife', 'sisters', 'daughters', 'brothers-in-law']
husband : wife = dad : mom -> ['dad', 'wife', 'girlfriend', 'ex-wife', 'mom']
husband : wife = father : mother -> ['wife', 'mother', 'father', 'ex-wife', 'grandmother']
husband : wife = grandfather : grandmother -> ['wife', 'grandfather', 'grandmother', 'niece', 'granddaughter']
husband : wife = grandpa : grandma -> ['grandpa', 'wife', 'girlfriend', 'ex-wife', 'ex-girlfriend']
husband : wife = grandson : granddaughter -> ['wife', 'granddaughter', 'grandson', 'niece', 'great-grandson']
husband : wife = groom : bride -> ['groom', 'wife', 'bride', 'bride-to-be', 'wives']
husband : wife = he : she -> ['he', 'wife', 'she', 'wife-to-be', 'oerip']
husband : wife = his : her -> ['his', 'wife', 'her', 'their', 'xyr']
king : queen = man : woman -> ['man', 'woman', 'girl', 'person', 'schoolgirl']
king : queen = nephew : niece -> ['niece', 'granddaughter', 'nephew', 'sister-in-law', 'daughter']
king : queen = policeman : policewoman -> ['policeman', 'policewoman', 'schoolgirl', 'waitress', 'schoolteacher']
king : queen = prince : princess -> ['princess', 'prince', 'queen', 'dowager', 'duchess']
king : queen = son : daughter -> ['daughter', 'son', 'granddaughter', 'niece', 'stepdaughter']
king : queen = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'half-sisters', 'stepdaughters']
king : queen = stepbrother : stepsister -> ['step-sister', 'stepsister', 'stepbrother', 'step-daughter', 'step-mother']
king : queen = stepfather : stepmother -> ['stepfather', 'stepmother', 'mother-in-law', 'sister-in-law', 'step-sister']
king : queen = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'step-daughter', 'sister-in-law', 'step-sister']
king : queen = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'mother-in-law']
king : queen = boy : girl -> ['boy', 'girl', 'schoolgirl', 'woman', 'tomboy']
king : queen = brother : sister -> ['brother', 'sister', 'half-sister', 'sister-in-law', 'niece']
king : queen = brothers : sisters -> ['brothers', 'sisters', 'half-sisters', 'aunts', 'siblings']
king : queen = dad : mom -> ['dad', 'mom', 'mum', 'dads', 'grandmother']
king : queen = father : mother -> ['father', 'mother', 'grandmother', 'mother-in-law', 'aunt']
king : queen = grandfather : grandmother -> ['grandfather', 'grandmother', 'aunt', 'great-grandmother', 'great-aunt']
king : queen = grandpa : grandma -> ['grandpa', 'auntie', 'trixie', 'grandma', 'granny']
king : queen = grandson : granddaughter -> ['granddaughter', 'grandson', 'niece', 'great-granddaughter', 'daughter']
king : queen = groom : bride -> ['groom', 'bridegroom', 'bride', 'queen', 'bridesmaids']
king : queen = he : she -> ['he', 'she', 'queen', 'keckley', 'davydova']
king : queen = his : her -> ['his', 'her', 'their', 'xyr', 'your']
king : queen = husband : wife -> ['husband', 'mother-in-law', 'stepmother', 'fianc', 'daughter-in-law']
man : woman = nephew : niece -> ['nephew', 'niece', 'granddaughter', 'son-in-law', 'grandson']
man : woman = policeman : policewoman -> ['policeman', 'policewoman', 'woman', 'schoolteacher', 'militiaman']
man : woman = prince : princess -> ['prince', 'princess', 'savang', 'asfaw', 'wossen']
man : woman = son : daughter -> ['son', 'daughter', 'granddaughter', 'niece', 'half-brother']
man : woman = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'daughter', 'half-sisters']
man : woman = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'step-mother', 'step-sister', 'step-daughter']
man : woman = stepfather : stepmother -> ['stepfather', 'stepmother', 'sister-in-law', 'step-father', 'step-mother']
man : woman = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'niece', 'daughter-in-law', 'sister-in-law']
man : woman = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'nephew']
man : woman = boy : girl -> ['boy', 'girl', 'woman', 'schoolgirl', 'girls']
man : woman = brother : sister -> ['brother', 'half-brother', 'niece', 'half-sister', 'sister-in-law']
man : woman = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'daughters', 'half-sisters']
