bad : worse = big : bigger -> ['bigger', 'larger', 'smaller', 'funnier', 'greater']
bright : brighter = simple : simpler -> ['simpler', 'quieter', 'neater', 'looser', 'sleeker']
bright : brighter = slow : slower -> ['slower', 'quieter', 'faster', 'quicker', 'smoother']
bright : brighter = small : smaller -> ['smaller', 'larger', 'quieter', 'slimmer', 'bigger']
bright : brighter = smart : smarter -> ['smarter', 'quieter', 'fatter', 'braver', 'slimmer']
bright : brighter = strong : stronger -> ['stronger', 'weaker', 'fatter', 'tighter', 'quieter']
bright : brighter = tall : taller -> ['taller', 'thicker', 'fatter', 'slimmer', 'quieter']
bright : brighter = tight : tighter -> ['tighter', 'rougher', 'looser', 'smoother', 'straighter']
bright : brighter = tough : tougher -> ['tougher', 'quieter', 'tighter', 'fatter', 'rougher']
bright : brighter = warm : warmer -> ['warmer', 'quieter', 'colder', 'hotter', 'rougher']
bright : brighter = weak : weaker -> ['weaker', 'stronger', 'fatter', 'fainter', 'quieter']
bright : brighter = wide : wider -> ['wider', 'narrower', 'shallower', 'broader', 'quieter']
bright : brighter = young : younger -> ['younger', 'smarter', 'taller', 'fainter', 'fatter']
bright : brighter = bad : worse -> ['weirder', 'sweeter', 'fatter', 'dumber', 'quieter']
bright : brighter = big : bigger -> ['bigger', 'quieter', 'fatter', 'fainter', 'smaller']
cheap : cheaper = cold : colder -> ['warmer', 'colder', 'hotter', 'drier', 'cooler']
cheap : cheaper = cool : cooler -> ['warmer', 'colder', 'hotter', 'cooler', 'drier']
cheap : cheaper = deep : deeper -> ['deeper', 'narrower', 'shallower', 'slower', 'deepest']
cheap : cheaper = easy : easier -> ['easier', 'harder', 'difficult', 'tougher', 'slower']
cheap : cheaper = fast : faster -> ['faster', 'slower', 'quicker', 'busier', 'heavier']
cheap : cheaper = good : better -> ['better', 'funnier', 'sillier', 'cleverer', 'healthier']
cheap : cheaper = great : greater -> ['greater', 'florenz', 'better', 'lesser', 'tremendous']
cheap : cheaper = hard : harder -> ['harder', 'easier', 'tougher', 'difficult', 'slower']
cheap : cheaper = heavy : heavier -> ['heavier', 'lighter', 'tougher', 'noisier', 'bulkier']
cheap : cheaper = high : higher -> ['higher', 'lower', 'low', 'ultra-high', 'near-zero']
cheap : cheaper = hot : hotter -> ['hotter', 'heavier', 'drier', 'bubbling', 'warmer']
cheap : cheaper = large : larger -> ['larger', 'smaller', 'bigger', 'huge', 'sizable']
cheap : cheaper = long : longer -> ['longer', 'shorter', 'spindly', 'narrower', 'bristly']
cheap : cheaper = loud : louder -> ['louder', 'slower', 'funnier', 'tougher', 'dirtier']
cheap : cheaper = low : lower -> ['higher', 'lower', 'steeper', 'high', 'hotter']
cheap : cheaper = new : newer -> ['d-new', 'australia-new', 'newer', 'higher-priced', 'longer-lived']
cheap : cheaper = old : older -> ['older', 'younger', 'newer', 'busier', 'wealthier']
cheap : cheaper = quick : quicker -> ['slower', 'easier', 'tougher', 'quicker', 'faster']
cheap : cheaper = safe : safer -> ['safer', 'healthier', 'easier', 'friendlier', 'slower']
cheap : cheaper = sharp : sharper -> ['sharper', 'tougher', 'narrower', 'noisier', 'heavier']
cheap : cheaper = short : shorter -> ['shorter', 'longer', 'slower', 'narrower', 'lengthier']
cheap : cheaper = simple : simpler -> ['simpler', 'looser', 'leaner', 'noisier', 'bulkier']
cheap : cheaper = slow : slower -> ['slower', 'faster', 'accelerate', 'decelerate', 'slows']
cheap : cheaper = small : smaller -> ['smaller', 'larger', 'bigger', 'large', 'mid-sized']
cheap : cheaper = smart : smarter -> ['smarter', 'healthier', 'tougher', 'flexible', 'cleverer']
cheap : cheaper = strong : stronger -> ['stronger', 'weaker', 'weak', 'tougher', 'firmer']
cheap : cheaper = tall : taller -> ['taller', 'narrower', 'thick', 'heavier', 'thicker']
cheap : cheaper = tight : tighter -> ['tighter', 'looser', 'narrower', 'tougher', 'thinner']
cheap : cheaper = tough : tougher -> ['tougher', 'harder', 'heavier', 'tighter', 'easier']
cheap : cheaper = warm : warmer -> ['warmer', 'drier', 'colder', 'hotter', 'wetter']
cheap : cheaper = weak : weaker -> ['weaker', 'stronger', 'tougher', 'heavier', 'longer-lived']
cheap : cheaper = wide : wider -> ['wider', 'narrower', 'broader', 'larger', 'smaller']
cheap : cheaper = young : younger -> ['younger', 'older', 'wealthier', 'marriageable', 'middle-aged']
cheap : cheaper = bad : worse -> ['better', 'uglier', 'funnier', 'sillier', 'nastier']
cheap : cheaper = big : bigger -> ['bigger', 'larger', 'smaller', 'greater', 'huge']
cheap : cheaper = bright : brighter -> ['brighter', 'fainter', 'browner', 'duller', 'luminous']
cold : colder = cool : cooler -> ['warmer', 'hotter', 'cooler', 'wetter', 'drier']
cold : colder = deep : deeper -> ['deeper', 'shallower', 'hotter', 'rougher', 'warmer']
cold : colder = easy : easier -> ['easier', 'harder', 'quieter', 'hotter', 'trickier']
cold : colder = fast : faster -> ['faster', 'slower', 'quieter', 'hotter', 'busier']
cold : colder = good : better -> ['weirder', 'prettier', 'tidier', 'cleverer', 'funnier']
cold : colder = great : greater -> ['greater', 'weirder', 'florenz', 'nobler', 'scarier']
cold : colder = hard : harder -> ['harder', 'rougher', 'trickier', 'hotter', 'quieter']
cold : colder = heavy : heavier -> ['heavier', 'hotter', 'denser', 'shallower', 'busier']
cold : colder = high : higher -> ['higher', 'steeper', 'shallower', 'hotter', 'low']
cold : colder = hot : hotter -> ['hotter', 'wetter', 'warmer', 'drier', 'shallower']
cold : colder = large : larger -> ['smaller', 'larger', 'bigger', 'huge', 'sizable']
cold : colder = long : longer -> ['longer', 'shorter', 'quieter', 'busier', 'steeper']
cold : colder = loud : louder -> ['louder', 'sweeter', 'hotter', 'prettier', 'fatter']
cold : colder = low : lower -> ['hotter', 'higher', 'shallower', 'steeper', 'wetter']
cold : colder = new : newer -> ['d-new', 'york-new', 'busier', 'australia-new', 'british-held']
cold : colder = old : older -> ['older', 'busier', 'plainer', 'prettier', 'cleverer']
cold : colder = quick : quicker -> ['quicker', 'slower', 'faster', 'quieter', 'weirder']
cold : colder = safe : safer -> ['safer', 'healthier', 'quieter', 'hotter', 'shallower']
cold : colder = sharp : sharper -> ['sharper', 'redder', 'steeper', 'blacker', 'hotter']
cold : colder = short : shorter -> ['shorter', 'steeper', 'hotter', 'busier', 'quieter']
cold : colder = simple : simpler -> ['simpler', 'trickier', 'weirder', 'plainer', 'prettier']
cold : colder = slow : slower -> ['slower', 'faster', 'hotter', 'quieter', 'attenuate']
cold : colder = small : smaller -> ['smaller', 'larger', 'tiny', 'stouter', 'bulkier']
cold : colder = smart : smarter -> ['smarter', 'greener', 'prettier', 'healthier', 'bolder']
cold : colder = strong : stronger -> ['stronger', 'weaker', 'weak', 'weirder', 'scarier']
cold : colder = tall : taller -> ['taller', 'denser', 'amsl', 'steeper', 'redder']
cold : colder = tight : tighter -> ['tighter', 'shallower', 'denser', 'rougher', 'steeper']
cold : colder = tough : tougher -> ['tougher', 'hotter', 'scarier', 'trickier', 'fatter']
cold : colder = warm : warmer -> ['warmer', 'hotter', 'drier', 'wetter', 'cooler']
cold : colder = weak : weaker -> ['weaker', 'stronger', 'redder', 'weirder', 'denser']
cold : colder = wide : wider -> ['wider', 'shallower', 'narrower', 'steeper', 'denser']
cold : colder = young : younger -> ['younger', 'wealthier', 'older', 'smarter', 'marriageable']
cold : colder = bad : worse -> ['weirder', 'prettier', 'sweeter', 'trickier', 'dumber']
cold : colder = big : bigger -> ['bigger', 'smaller', 'hotter', 'shallower', 'weirder']
cold : colder = bright : brighter -> ['brighter', 'darker', 'duller', 'paler', 'whiter']
cold : colder = cheap : cheaper -> ['cheaper', 'inexpensive', 'quieter', 'hotter', 'expensive']
cool : cooler = deep : deeper -> ['deeper', 'shallower', 'hotter', 'shallow', 'warmer']
cool : cooler = easy : easier -> ['easier', 'harder', 'quieter', 'quicker', 'busier']
cool : cooler = fast : faster -> ['faster', 'slower', 'quieter', 'busier', 'hotter']
cool : cooler = good : better -> ['busier', 'riskier', 'funnier', 'swifter', 'tidier']
cool : cooler = great : greater -> ['greater', 'florenz', 'busier', 'festillic', 'tremendous']
cool : cooler = hard : harder -> ['harder', 'easier', 'tougher', 'busier', 'quieter']
cool : cooler = heavy : heavier -> ['heavier', 'lighter', 'stiffer', 'busier', 'bulkier']
cool : cooler = high : higher -> ['higher', 'low', 'steeper', 'ultra-high', 'busier']
cool : cooler = hot : hotter -> ['hotter', 'warmer', 'colder', 'drier', 'wetter']
cool : cooler = large : larger -> ['smaller', 'larger', 'sizable', 'huge', 'sizeable']
cool : cooler = long : longer -> ['shorter', 'longer', 'busier', 'bristly', 'quieter']
cool : cooler = loud : louder -> ['louder', 'hotter', 'dimmer', 'swifter', 'quieter']
cool : cooler = low : lower -> ['higher', 'hotter', 'shallower', 'steeper', 'drier']
cool : cooler = new : newer -> ['d-new', 'australia-new', 'york-new', 'busier', 'medium-density']
cool : cooler = old : older -> ['older', 'busier', 'wealthier', 'newer', 'younger']
cool : cooler = quick : quicker -> ['quicker', 'slower', 'swifter', 'slimmer', 'quieter']
cool : cooler = safe : safer -> ['safer', 'healthier', 'quieter', 'swifter', 'shallower']
cool : cooler = sharp : sharper -> ['sharper', 'dimmer', 'slimmer', 'steeper', 'stouter']
cool : cooler = short : shorter -> ['shorter', 'busier', 'steeper', 'longer', 'narrower']
cool : cooler = simple : simpler -> ['simpler', 'bulkier', 'slimmer', 'leaner', 'swifter']
cool : cooler = slow : slower -> ['slower', 'quicker', 'faster', 'quieter', 'steeper']
cool : cooler = small : smaller -> ['smaller', 'tiny', 'larger', 'large', 'slimmer']
cool : cooler = smart : smarter -> ['slimmer', 'dimmer', 'smarter', 'stouter', 'bulkier']
cool : cooler = strong : stronger -> ['stronger', 'weaker', 'weak', 'busier', 'stouter']
cool : cooler = tall : taller -> ['taller', 'thicker', 'slimmer', 'centimeter', 'steeper']
cool : cooler = tight : tighter -> ['tighter', 'thicker', 'shallower', 'steeper', 'stiffer']
cool : cooler = tough : tougher -> ['tougher', 'busier', 'hotter', 'stiffer', 'bulkier']
cool : cooler = warm : warmer -> ['warmer', 'colder', 'drier', 'hotter', 'wetter']
cool : cooler = weak : weaker -> ['weaker', 'bulkier', 'stronger', 'steeper', 'busier']
cool : cooler = wide : wider -> ['wider', 'narrower', 'shallower', 'broad', 'broader']
cool : cooler = young : younger -> ['younger', 'wealthier', 'older', 'pre-teen', 'full-blood']
cool : cooler = bad : worse -> ['busier', 'colder', 'hotter', 'milder', 'riskier']
cool : cooler = big : bigger -> ['bigger', 'smaller', 'larger', 'busier', 'slimmer']
cool : cooler = bright : brighter -> ['brighter', 'warmer', 'dimmer', 'browner', 'paler']
cool : cooler = cheap : cheaper -> ['cheaper', 'inexpensive', 'bulkier', 'quieter', 'expensive']
cool : cooler = cold : colder -> ['warmer', 'colder', 'hotter', 'drier', 'milder']
deep : deeper = easy : easier -> ['easier', 'harder', 'simpler', 'difficult', 'tougher']
deep : deeper = fast : faster -> ['faster', 'slower', 'smoother', 'quicker', 'tighter']
deep : deeper = good : better -> ['funnier', 'better', 'sillier', 'trickier', 'uglier']
deep : deeper = great : greater -> ['greater', 'sillier', 'funnier', 'florenz', 'nastier']
deep : deeper = hard : harder -> ['harder', 'tougher', 'easier', 'difficult', 'trickier']
deep : deeper = heavy : heavier -> ['heavier', 'tighter', 'lighter', 'tougher', 'softer']
deep : deeper = high : higher -> ['higher', 'trickier', 'nastier', 'steeper', 'fresher']
deep : deeper = hot : hotter -> ['hotter', 'softer', 'dirtier', 'colder', 'warmer']
deep : deeper = large : larger -> ['larger', 'smaller', 'bigger', 'huge', 'sizable']
deep : deeper = long : longer -> ['longer', 'shorter', 'spindly', 'lengthier', 'unwieldly']
deep : deeper = loud : louder -> ['louder', 'funnier', 'sweeter', 'trickier', 'dirtier']
deep : deeper = low : lower -> ['higher', 'steeper', 'hotter', 'trickier', 'lower']
deep : deeper = new : newer -> ['d-new', 'australia-new', 'newish', 'sillier', 'newer']
deep : deeper = old : older -> ['older', 'sillier', 'nastier', 'funnier', 'busier']
deep : deeper = quick : quicker -> ['quicker', 'faster', 'tougher', 'funnier', 'simpler']
deep : deeper = safe : safer -> ['safer', 'healthier', 'friendlier', 'happier', 'easier']
deep : deeper = sharp : sharper -> ['sharper', 'bolder', 'tougher', 'tighter', 'uglier']
deep : deeper = short : shorter -> ['shorter', 'longer', 'lengthier', 'funnier', 'trickier']
deep : deeper = simple : simpler -> ['simpler', 'trickier', 'neater', 'looser', 'leaner']
deep : deeper = slow : slower -> ['slower', 'faster', 'quicker', 'smoother', 'swifter']
deep : deeper = small : smaller -> ['smaller', 'larger', 'tiny', 'bigger', 'sizable']
deep : deeper = smart : smarter -> ['smarter', 'bolder', 'prettier', 'simpler', 'tougher']
deep : deeper = strong : stronger -> ['stronger', 'weaker', 'weak', 'tougher', 'firmer']
deep : deeper = tall : taller -> ['taller', 'thicker', 'slimmer', 'thinner', 'fatter']
deep : deeper = tight : tighter -> ['tighter', 'looser', 'tougher', 'smoother', 'straighter']
deep : deeper = tough : tougher -> ['tougher', 'harder', 'tighter', 'funnier', 'trickier']
deep : deeper = warm : warmer -> ['warmer', 'colder', 'drier', 'calmer', 'hotter']
deep : deeper = weak : weaker -> ['weaker', 'stronger', 'tougher', 'funnier', 'trickier']
deep : deeper = wide : wider -> ['wider', 'broader', 'narrower', 'tighter', 'larger']
deep : deeper = young : younger -> ['younger', 'older', 'wealthier', 'pre-teen', 'middle-aged']
deep : deeper = bad : worse -> ['uglier', 'funnier', 'weirder', 'sillier', 'trickier']
deep : deeper = big : bigger -> ['bigger', 'larger', 'smaller', 'funnier', 'sillier']
deep : deeper = bright : brighter -> ['brighter', 'whiter', 'darker', 'sharper', 'duller']
deep : deeper = cheap : cheaper -> ['cheaper', 'inexpensive', 'riskier', 'simpler', 'funnier']
deep : deeper = cold : colder -> ['warmer', 'colder', 'hotter', 'calmer', 'drier']
deep : deeper = cool : cooler -> ['warmer', 'colder', 'calmer', 'hotter', 'cooler']
easy : easier = fast : faster -> ['faster', 'slower', 'rapidly', 'googly', 'smoothly']
easy : easier = good : better -> ['better', 'sillier', 'funnier', 'nastier', 'uglier']
easy : easier = great : greater -> ['florenz', 'tremendous', 'immeasurable', 'greater', 'terrible']
easy : easier = hard : harder -> ['harder', 'difficult', 'tougher', 'trickier', 'funnier']
easy : easier = heavy : heavier -> ['heavier', 'lighter', 'torrential', 'noisier', 'lake-effect']
easy : easier = high : higher -> ['higher', 'low', 'near-zero', 'ultra-high', 'eighth-grade']
easy : easier = hot : hotter -> ['bubbling', 'hotter', 'monsoon-influenced', 'drier', 'saltier']
easy : easier = large : larger -> ['larger', 'smaller', 'huge', 'bigger', 'small']
easy : easier = long : longer -> ['longer', 'lengthy', 'shorter', 'spindly', 'anon-only']
easy : easier = loud : louder -> ['louder', 'funnier', 'uglier', 'dirtier', 'angrier']
easy : easier = low : lower -> ['higher', 'high', 'lower', 'near-zero', 'saltier']
easy : easier = new : newer -> ['d-new', 'newish', 'newly-developed', '2-barrel', 'australia-new']
easy : easier = old : older -> ['older', 'younger', 'out-of-date', 'sillier', 'newer']
easy : easier = quick : quicker -> ['slower', 'faster', 'speedier', 'tougher', 'quicker']
easy : easier = safe : safer -> ['safer', 'healthier', 'unsafe', 'cheaper', 'uninhabitable']
easy : easier = sharp : sharper -> ['sharper', 'blade-like', 'sharpest', 'razor-sharp', 'taut']
easy : easier = short : shorter -> ['shorter', 'lengthy', 'lengthier', 'longish', 'longer']
easy : easier = simple : simpler -> ['simpler', 'simplistic', 'leaner', 'uglier', 'sillier']
easy : easier = slow : slower -> ['slower', 'faster', 'slowing', 'accelerate', 'slows']
easy : easier = small : smaller -> ['smaller', 'larger', 'large', 'smallish', 'bigger']
easy : easier = smart : smarter -> ['smarter', 'cheaper', 'leaner', 'cleverer', 'prettier']
easy : easier = strong : stronger -> ['stronger', 'weak', 'weaker', 'firmer', 'powerful']
easy : easier = tall : taller -> ['taller', 'thick', 'narrower', 'thinner', 'smaller']
easy : easier = tight : tighter -> ['tighter', 'tougher', 'narrower', 'firmer', 'thinner']
easy : easier = tough : tougher -> ['tougher', 'harder', 'difficult', 'uglier', 'funnier']
easy : easier = warm : warmer -> ['warmer', 'drier', 'colder', 'humid', 'moist']
easy : easier = weak : weaker -> ['weaker', 'stronger', 'unstable', 'tougher', 'tenuous']
easy : easier = wide : wider -> ['wider', 'narrower', 'broader', 'larger', 'smaller']
easy : easier = young : younger -> ['younger', 'older', 'marriageable', 'middle-aged', 'pre-teen']
easy : easier = bad : worse -> ['uglier', 'worse', 'sillier', 'funnier', 'nastier']
easy : easier = big : bigger -> ['bigger', 'larger', 'huge', 'smaller', 'sillier']
easy : easier = bright : brighter -> ['orange-red', 'brighter', 'pinkish', 'whiter', 'bluish']
easy : easier = cheap : cheaper -> ['cheaper', 'inexpensive', 'expensive', 'affordable', 'costlier']
easy : easier = cold : colder -> ['warmer', 'drier', 'colder', 'cooler', 'humid']
easy : easier = cool : cooler -> ['warmer', 'warm', 'colder', 'cooler', 'drier']
easy : easier = deep : deeper -> ['deeper', 'shallow', 'thick', 'head-first', 'narrower']
fast : faster = good : better -> ['better', 'funnier', 'cleverer', 'sillier', 'trickier']
fast : faster = great : greater -> ['greater', 'tremendous', 'bigger', 'florenz', 'sillier']
fast : faster = hard : harder -> ['harder', 'easier', 'tougher', 'difficult', 'trickier']
fast : faster = heavy : heavier -> ['heavier', 'lighter', 'bulkier', 'tougher', 'thinner']
fast : faster = high : higher -> ['higher', 'ultra-high', 'lower', 'above-average', 'steeper']
fast : faster = hot : hotter -> ['hotter', 'heavier', 'softer', 'bulkier', 'dirtier']
fast : faster = large : larger -> ['larger', 'smaller', 'bigger', 'huge', 'enormous']
fast : faster = long : longer -> ['longer', 'shorter', 'narrower', 'lengthier', 'straighter']
fast : faster = loud : louder -> ['louder', 'funnier', 'sweeter', 'mellower', 'dirtier']
fast : faster = low : lower -> ['higher', 'lower', 'steeper', 'hotter', 'heavier']
fast : faster = new : newer -> ['d-new', '2-barrel', 'australia-new', 'all-new', 'sturdier']
fast : faster = old : older -> ['older', 'cleverer', 'newer', 'sillier', 'sturdier']
fast : faster = quick : quicker -> ['slower', 'quicker', 'easier', 'tougher', 'swifter']
fast : faster = safe : safer -> ['safer', 'easier', 'cheaper', 'healthier', 'swifter']
fast : faster = sharp : sharper -> ['sharper', 'bolder', 'slimmer', 'tougher', 'fatter']
fast : faster = short : shorter -> ['shorter', 'longer', 'slower', 'lengthier', 'thinner']
fast : faster = simple : simpler -> ['simpler', 'bulkier', 'leaner', 'trickier', 'noisier']
fast : faster = slow : slower -> ['slower', 'quicker', 'slows', 'smoother', 'accelerate']
fast : faster = small : smaller -> ['smaller', 'larger', 'bigger', 'tiny', 'bulkier']
fast : faster = smart : smarter -> ['smarter', 'cleverer', 'bolder', 'cheaper', 'prettier']
fast : faster = strong : stronger -> ['stronger', 'weaker', 'tougher', 'weak', 'heavier']
fast : faster = tall : taller -> ['taller', 'slimmer', 'thicker', 'thinner', 'heavier']
fast : faster = tight : tighter -> ['tighter', 'tougher', 'smoother', 'thicker', 'thinner']
fast : faster = tough : tougher -> ['tougher', 'harder', 'heavier', 'funnier', 'easier']
fast : faster = warm : warmer -> ['warmer', 'colder', 'hotter', 'drier', 'softer']
fast : faster = weak : weaker -> ['weaker', 'stronger', 'tougher', 'cleverer', 'bulkier']
fast : faster = wide : wider -> ['wider', 'narrower', 'broader', 'larger', 'smaller']
fast : faster = young : younger -> ['younger', 'older', 'pre-teen', 'middle-aged', 'smarter']
fast : faster = bad : worse -> ['worse', 'uglier', 'funnier', 'weirder', 'sillier']
